Novos Baianos,Acabou Chorare
"Caetano Veloso, Gilberto Gil, Gal Costa, Tom Zé, Os Mutantes, Nara Leão, Torquato Neto, Capinam, Rogério Duprat",Panis et Circencis
Chico Buarque,Construção
João Gilberto,Chega de Saudade
Secos & Molhados,Secos & Molhados
Jorge Ben,A Tábua de Esmeralda
Milton Nascimento & Lô Borges,Clube da Esquina
Cartola,Cartola
Os Mutantes,Os Mutantes
Caetano Veloso,Transa
Elis Regina e Tom Jobim,Elis & Tom
Raul Seixas,"Krig-ha, Bandolo!"
Chico Science & Nação Zumbi,Da Lama ao Caos
Racionais MC's,Sobrevivendo no Inferno
Jorge Ben,Samba Esquema Novo
Rita Lee & Tutti Frutti,Fruto Proibido
Tim Maia,Racional
Chico Science & Nação Zumbi,Afrociberdelia
Titãs,Cabeça Dinossauro
Gal Costa,Fa-Tal - Gal A Todo Vapor
Legião Urbana,Dois
Os Mutantes,A Divina Comédia
Moacir Santos,Coisas
Roberto Carlos,Roberto Carlos Em Ritmo de Aventura
Tim Maia,Tim Maia
Gilberto Gil,Expresso 2222
Ultraje a Rigor,Nós Vamos Invadir sua Praia
Roberto Carlos,Roberto Carlos
Baden Powell e Vinicius de Moraes,Os Afro-Sambas
Paulinho da Viola,A Dança da Solidão
Erasmo Carlos,"Carlos, Erasmo"
Luiz Melodia,Pérola Negra
Dorival Caymmi,Caymmi e Seu Violão
Arnaldo Baptista,Lóki?
Tom Zé,Estudando o Samba
Elis Regina,Falso Brilhante
Caetano Veloso,Caetano Veloso
Banda Black Rio,Maria Fumaça
Os Paralamas do Sucesso,Selvagem?
Legião Urbana,Legião Urbana
Chico Buarque,Meus Caros Amigos
Los Hermanos,Bloco do Eu Sozinho
Gilberto Gil,Refazenda
Os Mutantes,Mutantes
Raimundos,Raimundos
Sepultura,Chaos A.D.
João Gilberto,João Gilberto
Blitz,As Aventuras da Blitz
Tim Maia,Tim Maia Racional Vol 2
Walter Franco,Revolver
Arrigo Barnabé,Clara Crocodilo
Cartola,Cartola
Raul Seixas,Novo Aeon
Gilberto Gil,Refavela
Paulinho da Viola,Nervos de Aço
João Gilberto,Amoroso
Sepultura,Roots
Tom Jobim,"The Composer of Desafinado, Plays"
Elizeth Cardoso,Canção do Amor Demais
Gilberto Gil e Jorge Ben,"Gil & Jorge: Ogum, Xangô"
Jorge Ben,Força Bruta
Marisa Monte,MM
Milton Nascimento,Milagre dos Peixes
"Nara Leão, João do Vale e Zé Kéti",Show Opinião
Nelson Cavaquinho,Nelson Cavaquinho
Caetano Veloso,Cinema Transcendental
Jorge Ben,África Brasil
Los Hermanos,Ventura
Mundo Livre S/A,Samba Esquema Noise
"João Gilberto, Stan Getz e Tom Jobim",Getz/Gilberto
Aracy de Almeida,Noel Rosa e Aracy de Almeida
Os Mutantes,Jardim Elétrico
Angela Ro Ro,Angela Ro Ro
Titãs,Õ Blésq Blom
Tim Maia,Tim Maia
João Donato,A Bad Donato
Dorival Caymmi,Canções Praieiras
Gilberto Gil,Gilberto Gil
Maria Bethânia,Álibi
Gal Costa,Gal Costa
Ira!,Psicoacústica
Roberto Carlos,O Inimitável
Tom Jobim,Matita Perê
Caetano Veloso,Qualquer Coisa/Jóia
Roberto Carlos,Jovem Guarda
Itamar Assumpção e Banda Isca de Polícia,"Beleléu, Leléu, Eu"
Marisa Monte,"Verde, Anil, Amarelo, Cor-de-Rosa e Carvão"
Racionais MC's,Nada como um Dia após o Outro Dia
Mundo Livre S/A,Carnaval na Obra
João Donato,Quem é Quem
Gal Costa,Cantar
Tom Jobim,Wave
O Rappa,Lado B Lado A
Ira!,Vivendo e Não Aprendendo
"Caetano Veloso, Gal Costa, Gilberto Gil e Maria Bethânia",Doces Bárbaros
Júpiter Maçã,A Sétima Efervescência
Caetano Veloso,Araçá Azul
Elis Regina,Elis
RPM,Revoluções por Minuto
Egberto Gismonti,Circense
