The Beatles,Sgt. Pepper's Lonely Hearts Club Band,6QaVfG1pHYl1z15ZxkvVDW
The Beach Boys,Pet Sounds,6GphKx2QAPRoVGWE9D7ou8
The Beatles,Revolver,3PRoXYsngSwjEQWR5PsHWR
Bob Dylan,Highway 61 Revisited,6YabPKtZAjxwyWbuO9p4ZD
The Beatles,Rubber Soul,50o7kf2wLwVmOTVYJOTplm
Marvin Gaye,What's Going On,3P9Pzn7O4Zsr3tsCSsx7Uk
The Rolling Stones,Exile on Main St.,5U4dnRZsfW8NmwBBkELFPh
The Clash,London Calling,6FCzvataOZh68j8OKzOt9a
Bob Dylan,Blonde on Blonde,4NP1rhnsPdYpnyJP0p0k0L
The Beatles,The Beatles (The White Album),2kgmS70ErVkjft03EC2DfH
Elvis Presley,The Sun Sessions,1MXqJeTXdeFEERhpyhBCnj
Miles Davis,Kind of Blue,4sb0eMpDn3upAFfyi4q2rw
The Velvet Underground,The Velvet Underground & Nico,4xwx0x7k6c5VuThz5qVqmV
The Beatles,Abbey Road,0ETFjACtuP2ADo6LFhL6HN
The Jimi Hendrix Experience,Are You Experienced,7rSZXXHHvIhF4yUFdaOCy9
Bob Dylan,Blood on the Tracks,4WD4pslu83FF6oMa1e19mF
Nirvana,Nevermind,2guirTSEqLizK7j9i1MTTZ
Bruce Springsteen,Born to Run,43YIoHKSrEw2GJsWmhZIpu
Van Morrison,Astral Weeks,4pG3bKkbmReDt5QTDn3JDz
Michael Jackson,Thriller,1C2h7mLntPSeVYciMRTF4a
Chuck Berry,The Great Twenty_Eight,4hQtcgvaybCqBsTrfiL1jC
Robert Johnson,The Complete Recordings,0x5yF2BAmms8KLA3YubZDP
John Lennon  Plastic Ono Band,John LennonPlastic Ono Band,0DFYbYCcHCEJPcN1hODG6K
Stevie Wonder,Innervisions,5jgI8Eminx9MmLBontDWq8
James Brown,"Live at the Apollo, 1962",0B6BbyElOe4bwziJrunOTe
Fleetwood Mac,Rumours,0BwWUstDMUbgq2NYONRqlu
U2,The Joshua Tree,5y6wlw1LnqFnQFruMeiwGU
The Who,Who's Next,5MqyhhHbT13zsloD3uHhlQ
Led Zeppelin,Led Zeppelin,44Ig8dzqOkvkGDzaUof9lK
Joni Mitchell,Blue,6rBennOYWR1OZQnsU39PKL
Bob Dylan,Bringing It All Back Home,1lPoRKSgZHQAYXxzBsOQ7v
The Rolling Stones,Let It Bleed,4l4u9e9jSbotSXNjYfOugy
Ramones,Ramones,5uYDAwW0SZgcfOFkxrST64
The Band,Music From Big Pink,0ky5kdvfPxSmSpj03hpSAE
David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders From Mars,48D1hRORqJq52qsnUYZX56
Carole King,Tapestry,12n11cgnpjXKLeqrnIERoS
Eagles,Hotel California,2widuo17g5CEC66IbzveRu
Muddy Waters,The Anthology,5kP2AlLe5EsHEx6y3HpJjN
The Beatles,Please Please Me,3KzAvEXcqJKBF97HrXwlgf
Love,Forever Changes,2amHBpP8C0EUy6yBNy6nN6
Sex Pistols,Never Mind the Bollocks Here's the Sex Pistols,5fxYu3rqjCNTSPKN8mtEl2
The Doors,The Doors,1jWmEhn3ggaL6isoyLfwBn
Pink Floyd,The Dark Side of the Moon,4LH4d3cOWNNsVw41Gqt2kv
Patti Smith,Horses,4oiTkphB9JYcl3lRVYGxCv
Bob Marley & The Wailers,Legend The Best of Bob Marley and The Wailers,4jKeipwuUTjlx9USNYdhZn
John Coltrane,A Love Supreme,7Eoz7hJvaX1eFkbpQxC5PA
Public Enemy,It Takes a Nation of Millions to Hold Us Back,03Mx6yaV7k4bsEmcTH8J49
