Hello,4qYlBtzkmby4r1N7etPnUv,203.186,55,9,0,4,0.0136,0.318,0.952,0.0152,0.167,-3.234,0.094,0.0537,132.191
Roll With It,1Xip3AM9yC2aeUIuhKftP5,239.826,58,9,0,4,0.00302,0.244,0.985,0.000204,0.318,-1.816,0.107,0.228,126.734
Wonderwall,1qPbGZqppFwLwcBC1JQ6Vr,258.906,80,2,1,4,0.00236,0.41,0.854,0.0,0.133,-5.609,0.0366,0.456,174.584
Don't Look Back In Anger,7ppPZa3TRUSGKaks9wH7VT,287.826,73,0,1,4,0.026,0.349,0.917,7.25e-06,0.0968,-3.645,0.071,0.206,164.036
Hey Now!,1IsOKJDayHwNyZKGpMyaql,341.906,54,2,1,4,0.000275,0.145,0.938,0.00187,0.38,-2.488,0.0627,0.204,202.403
The Swamp Song - Version 1,1k2jYPMAJH5MQABhIY81cR,44.626,49,10,1,4,3.44e-05,0.288,0.68,0.876,0.268,-5.711,0.0481,0.149,143.019
Some Might Say,6CpEUxOlhcynZpIvPY08iv,327.92,59,0,0,4,0.181,0.263,0.935,0.013,0.331,-2.289,0.0933,0.0688,110.138
Cast No Shadow,5TIvGpN4qPVBrJX8KGOP9D,294.813,56,7,1,4,0.00181,0.418,0.838,0.0,0.153,-4.306,0.0282,0.628,158.304
She's Electric,4yCihiznWkDsbuIqf6mSiG,220.92,63,9,1,4,0.163,0.484,0.91,1.13e-06,0.315,-3.499,0.0483,0.501,125.364
Morning Glory,3MT6rJBU7VUAPWtQsowIQv,303.533,59,2,0,4,0.00866,0.334,0.986,0.000354,0.466,-1.655,0.0932,0.136,137.031
The Swamp Song - Version 2,533YtUwTnM5FeGRw5fRf5z,39.36,47,5,1,4,0.867,0.199,0.991,0.962,0.851,-12.953,0.0804,0.0185,106.717
Champagne Supernova,6EMynpZ10GVcwVqiLZj6Ye,450.506,69,2,1,4,0.223,0.303,0.853,0.00159,0.361,-2.26,0.0366,0.119,150.381
