Feel,3DbEbS7dExqASuAxOwbGfq,212.906,31,2,1,4,0.000713,0.386,0.579,0.0177,0.113,-8.884,0.0406,0.353,115.354
The Ballad Of El Goodo,1B5kQto4k99RG67TJEwwS5,260.16,43,1,1,4,0.043,0.327,0.472,0.0,0.0419,-9.442,0.0309,0.347,143.771
In The Street,7fwUb4zqdjakeeyuYEhkI8,174.733,38,0,1,4,0.00391,0.48,0.721,0.0457,0.0902,-9.23,0.0391,0.59,124.901
Thirteen,3BQLTtpQOYGXQY2lT3ZZeU,154.666,53,0,0,4,0.674,0.457,0.268,5.77e-06,0.11,-14.371,0.0319,0.348,117.141
Don't Lie To Me,5gPMwMDeJ57uEkjOyHjg8A,187.533,29,10,1,4,0.000641,0.263,0.834,0.237,0.11,-8.829,0.0636,0.277,133.011
The India Song,5slyc2cJn0VXgXRN1rU54o,140.506,26,7,1,4,0.276,0.578,0.468,0.0,0.142,-12.46,0.029,0.659,122.762
When My Baby's Beside Me,3k0xITtgCxdbwyGTxpbpH1,203.533,29,0,1,4,0.0299,0.442,0.763,0.0,0.299,-7.935,0.0319,0.919,127.366
My Life Is Right,2P6csHYB1f4PL3Wvm7tFqa,186.866,26,2,1,4,0.0212,0.223,0.606,8.7e-05,0.248,-8.002,0.03,0.386,86.163
Give Me Another Chance,7BSTT4wOBzUB1XPP1Aa8jk,207.093,26,2,1,4,0.193,0.359,0.205,0.0,0.116,-11.487,0.0282,0.279,72.249
Try Again,6LMkCz5P2YBIgvXDmL9x2f,212.266,25,7,1,4,0.629,0.463,0.231,0.000499,0.076,-11.451,0.0271,0.117,133.46
Watch The Sunrise,6nMdbyGREwavkn8mH5oQJV,223.906,27,7,1,4,0.572,0.381,0.383,3.88e-05,0.0732,-12.043,0.0257,0.384,87.551
ST 100/6,4s8oEXoqMtMLcM7JqsHVCW,58.906,23,2,1,4,0.569,0.585,0.356,3.81e-05,0.0848,-12.365,0.0352,0.265,88.758
