A Sense Of Symmetry,52zoeCUP7nS3AG4LARyLbU,303.973,43,9,0,3,0.985,0.347,0.00797,0.922,0.346,-26.741,0.041,0.099,70.865
Oltremare,0UPT81hRcV0BW7dvVDUMJ9,665.773,43,4,0,3,0.989,0.299,0.0439,0.903,0.0747,-24.702,0.0422,0.0794,70.698
Berlin Song,1QholczgI1OcMdofww4cC7,400.253,41,0,1,4,0.992,0.348,0.00768,0.917,0.0647,-27.101,0.0488,0.0838,118.01
Tu Sei,0xWRminyVheMepAHDLwzCt,510.986,41,2,0,3,0.994,0.261,0.0064,0.827,0.123,-29.154,0.0405,0.0377,176.432
Elegy For The Arctic,4dcAGiq9B81ODpT7qDyxmR,205.24,40,5,0,4,0.992,0.268,0.0217,0.93,0.133,-29.621,0.042,0.106,70.051
Ascent,2tKbWoagHwOpkbbi5MeeoC,418.586,40,4,0,4,0.993,0.319,0.0133,0.912,0.12,-28.093,0.0409,0.154,103.303
Gravity,6a7FuL9mFI3MzLWduT793M,333.773,40,9,0,4,0.989,0.334,0.0183,0.924,0.0855,-31.412,0.0421,0.0894,120.677
Nuvole Bianche,3kdYjD9OBBpOTWLYQNKgmw,339.48,42,8,1,4,0.993,0.269,0.0094,0.914,0.195,-30.268,0.0424,0.0995,88.293
Le Onde,7CZdD3f78CWdbw3RENbsgn,297.826,39,2,1,3,0.991,0.368,0.0369,0.877,0.0838,-27.841,0.0403,0.247,124.148
High Heels,5QFsf4LgynI83heWyyy5Uv,273.0,39,7,0,4,0.994,0.443,0.0219,0.938,0.123,-30.607,0.0443,0.153,134.988
The Earth Prelude,5QHnPuGkFlf5rxC7pJgSnd,285.066,39,4,0,3,0.988,0.312,0.0193,0.924,0.0909,-25.163,0.0503,0.0811,168.698
Walk,1LXT9K3xzZkIOPw5xU3cJ2,154.293,39,10,0,5,0.994,0.277,0.00425,0.88,0.0832,-40.154,0.0429,0.168,72.537
