Summer Knights,2NDXdxZjbm5EbbEEDSKXQV,116.05,47,5,0,4,0.513,0.485,0.596,1.56e-05,0.239,-7.734,0.11,0.458,92.513
Waves,3AM2ihc5RFzbC47eCpTg2I,211.63,56,8,0,4,0.223,0.733,0.912,0.0,0.206,-3.239,0.223,0.888,89.947
FromdaTomb$,18Y3zi59zjRVUEjUhdApSX,204.866,51,10,0,4,0.195,0.59,0.916,0.0,0.153,-4.541,0.323,0.548,92.457
Survival Tactics,4pNT8XTKWb2vhcsqwzdXCT,202.784,63,1,1,4,0.428,0.53,0.843,0.0,0.164,-2.271,0.39,0.919,199.946
Killuminati,2PxwwqB4f9x72jbw6AgR1s,153.74,53,11,0,4,0.435,0.607,0.838,0.0,0.113,-3.064,0.141,0.877,87.15
Hardknock,3QbsrWxq3JyNov94VzbNdB,318.375,53,7,0,4,0.0892,0.639,0.894,0.0,0.881,-2.047,0.272,0.535,81.97
World Domination,1W4qc7UnAuRmT93W8Ad1t1,162.761,53,1,1,4,0.174,0.451,0.943,0.455,0.151,-1.598,0.273,0.911,79.394
Pennyroyal,2miKV8OiAhmZPjhCzgRnvw,169.796,49,11,0,4,0.0577,0.748,0.834,0.0,0.102,-2.272,0.112,0.918,93.485
Funky Ho'$,1rZvU5sb2E8LuJTAqEdAiw,269.357,48,0,0,3,0.482,0.686,0.692,0.0,0.169,-5.573,0.323,0.649,173.78
Daily Routine,7fMG4HNSKzBFKthjmeW8LU,177.959,49,1,1,4,0.261,0.665,0.531,1.97e-06,0.111,-8.577,0.298,0.539,81.343
Snakes,3dkLUA4zs07CnhchRuRV6J,259.439,52,1,1,4,0.823,0.529,0.669,0.0,0.11,-4.653,0.337,0.797,82.147
Don't Front,24TUPoKOVqKT1hZHV63FUV,261.67,47,2,1,4,0.381,0.613,0.808,0.0,0.262,-6.078,0.248,0.736,94.51
Righteous Minds,7dFGkZbmm6cVlI28bfMaWE,224.042,54,8,0,4,0.262,0.809,0.638,0.0,0.453,-5.646,0.28,0.608,94.893
Where It'$ At?,4rkfCWtPe63QU1HXsVTcpc,248.837,46,10,0,4,0.82,0.723,0.661,0.0,0.102,-5.292,0.423,0.859,80.351
Third Eye Sh*t,046k0tkM8kI1D1UbmSsIsW,706.612,47,2,0,3,0.62,0.612,0.665,0.0,0.104,-5.998,0.412,0.722,128.945
