The Air That I Breathe,6Ovy9HgSkOCgVTXUcMcYXD,244.18,26,4,0,4,0.257,0.275,0.403,0.000526,0.222,-11.014,0.0302,0.272,168.455
Carrie Anne,7hbS99uuSAjqwFwcYgUdEV,175.893,43,0,1,4,0.19,0.555,0.609,0.0,0.261,-9.407,0.0318,0.849,119.777
Bus Stop,5rVj0WJEGMO0WQeX9GG4kh,174.64,54,4,0,4,0.103,0.601,0.698,0.0,0.0893,-8.708,0.0313,0.787,136.263
Listen to Me,4M1imagdz80FbcE62yTbnb,159.533,29,1,1,4,0.303,0.489,0.639,0.0,0.156,-10.151,0.0471,0.924,102.203
Look Through Any Window,0BzTkmo5WxDjxVDA3qoata,137.133,29,1,0,4,0.0722,0.491,0.774,0.00159,0.247,-6.775,0.0326,0.824,137.192
I Can't Let Go,32fWqBY388oQqEtDCXKMil,147.04,25,7,1,4,0.486,0.441,0.569,1.3e-06,0.108,-7.996,0.0353,0.71,128.194
Long Cool Woman (In a Black Dress),73kgeinD9RMBp6r6yqUA6w,197.133,33,4,1,4,0.44,0.761,0.788,0.00531,0.341,-11.672,0.0596,0.768,138.902
Here I Go Again - Mono,5nDwOvuZ2R3CuAC2KWpn6X,140.4,26,7,1,4,0.0266,0.529,0.751,0.0,0.281,-9.651,0.0291,0.957,136.52
I Can't Tell the Bottom From the Top,1VxfKxXwvPY8G8wBe7ngEt,232.28,22,4,1,4,0.416,0.368,0.52,0.0,0.11,-9.418,0.0457,0.18,76.082
I'm Alive,5KnoGzqktzPxHC38VQgWha,145.866,41,2,0,4,0.0111,0.436,0.586,4.54e-06,0.447,-8.292,0.0308,0.674,132.778
Yes I Will,7yC5SaMeZJfvFL6lICCulP,176.0,20,4,1,4,0.15,0.417,0.667,0.0,0.217,-6.404,0.0367,0.556,131.796
Stay,3Ym8CnkBon9TVkf2o4nuEz,133.093,19,1,0,4,0.36,0.376,0.861,0.011,0.305,-11.819,0.0445,0.76,151.424
Sorry Suzanne,5mLqHfJcDSfJo31eWVFyjF,180.306,38,0,1,4,0.0515,0.635,0.524,0.0,0.17,-11.778,0.0304,0.914,123.917
Gasoline Alley Bred,4Rugk1I0nE88JIbr7ApWK5,233.84,17,3,1,4,0.22,0.333,0.589,7.18e-06,0.138,-11.416,0.035,0.76,162.067
We're Through,5ZtfnXND8dgBljCTwuSunP,135.76,55,2,1,4,0.473,0.616,0.691,8.01e-06,0.0958,-9.833,0.0465,0.858,92.995
Jennifer Eccles,6voeYXkXLityb4Gj4dIBil,175.573,28,10,1,4,0.18,0.637,0.676,1.67e-06,0.217,-10.691,0.031,0.809,125.556
Stop Stop Stop,4fceZZUANtRyEjyc5KzcvB,169.333,27,2,1,4,0.211,0.396,0.839,0.0,0.314,-9.162,0.0573,0.84,204.95
On a Carousel,1LDM9JRmWK4PzZ0E0wOoXM,194.533,26,0,1,4,0.133,0.588,0.562,2.05e-05,0.639,-10.861,0.0294,0.698,121.312
Just One Look,4Pi0Up4FoL9Wu0zhQoN2cU,147.666,35,2,1,4,0.369,0.61,0.737,2.41e-05,0.303,-7.439,0.0446,0.857,127.88
He Ain't Heavy He's My Brother,6f5sSC3ORfpUMYtE4J06VW,258.8,49,7,1,4,0.444,0.319,0.275,0.000365,0.183,-13.195,0.0303,0.253,75.754
