Motherless Children,1v0PatOEeF1g1fVRNlmw9k,291.08,30,9,1,4,0.0508,0.556,0.758,0.605,0.284,-14.826,0.0366,0.752,127.897
Give Me Strength,5v23zqATC3zspzQUbLW2CH,171.866,27,4,1,4,0.771,0.566,0.0993,0.0653,0.106,-23.131,0.0335,0.32,137.809
Willie And The Hand Jive,0j0ZnGtPwkGTxjNCu0xMt8,209.866,28,9,1,4,0.242,0.674,0.188,0.0163,0.0434,-21.337,0.497,0.796,181.126
Get Ready,6NDEiHpjL0nFS4joR0N5jD,227.493,26,7,1,4,0.661,0.775,0.237,0.213,0.191,-19.149,0.121,0.637,92.991
I Shot The Sheriff,3PbJjso7KugjaEA8nkUPfk,263.573,31,7,1,4,0.0934,0.719,0.523,0.00412,0.111,-15.483,0.0492,0.668,94.465
I Can't Hold Out,1yB3SGuoHYvUmjmMx2G0rZ,252.28,26,9,1,4,0.245,0.68,0.187,0.573,0.0965,-23.184,0.0437,0.738,121.784
Please Be With Me,3aWWfmVhaMGFwtKFFBHgC5,206.266,28,7,1,4,0.847,0.632,0.132,0.00213,0.124,-21.379,0.0295,0.248,107.006
Let It Grow,5UlG3lpb5THZeoCGttMA4o,298.0,29,4,1,4,0.416,0.419,0.295,0.368,0.167,-17.587,0.0261,0.289,77.702
Steady Rollin' Man,5gAXmNS0r3nDYtxzXY8ftB,192.133,25,2,1,4,0.339,0.705,0.799,0.536,0.071,-14.73,0.0356,0.805,95.635
Mainline Florida,5i63d35sAlhhddtB0Cx5Zp,244.506,26,9,1,4,0.155,0.571,0.534,0.152,0.573,-13.575,0.0394,0.772,121.55
