Absolutely Cuckoo,18PAtUJK3t419O9ftkUZxN,94.746,39,11,1,3,0.989,0.452,0.423,0.881,0.172,-10.141,0.029,0.887,99.04
I Don't Believe in the Sun,24hSe8FngwwVnFiM8zgPO7,256.453,35,1,0,3,0.743,0.362,0.395,0.522,0.183,-8.761,0.0262,0.165,110.279
All My Little Words,0IvBJ71GLPHCuFO9hRbWZA,166.133,51,8,1,4,0.731,0.473,0.532,0.0117,0.0973,-7.744,0.0276,0.403,105.13
A Chicken With Its Head Cut Off,5FyUdab41uhfJbjvevXILq,161.706,38,0,1,4,0.677,0.736,0.854,0.789,0.113,-7.878,0.0629,0.87,138.493
Reno Dakota,1V6e5kTtZ2lBemNTAhVmge,65.293,33,2,1,3,0.917,0.627,0.483,0.0534,0.11,-7.933,0.0294,0.927,133.611
I Don't Want to Get Over You,09YfILH3QY7POQbhBc7DNv,142.6,44,7,1,4,0.0186,0.471,0.866,0.00296,0.117,-8.019,0.0886,0.265,120.415
Come Back From San Francisco,0L3dRA5vVYXTHhL5ZA6GZO,168.066,34,2,1,4,0.917,0.564,0.228,0.0,0.105,-11.237,0.0339,0.229,116.557
The Luckiest Guy on the Lower East Side,2pL9xr4Mznff997e4jcoos,223.333,38,11,1,4,0.319,0.481,0.843,4.3e-06,0.045,-5.683,0.081,0.423,78.809
Let's Pretend We're Bunny Rabbits,6ERx9JDKsg0iwKEYB6UR9X,145.306,33,9,1,4,0.369,0.431,0.706,1.86e-06,0.599,-5.55,0.0472,0.388,124.847
The Cactus Where Your Heart Should Be,3otLkxciVRnUIi1WsBDp6k,71.213,31,9,0,3,0.907,0.394,0.308,3.31e-06,0.108,-10.655,0.0284,0.277,139.649
I Think I Need a New Heart,0g7waQsc8WWxchFAHfRhFt,152.733,43,2,1,4,0.703,0.62,0.83,0.0427,0.201,-6.581,0.0464,0.912,159.448
The Book of Love,6UGpcXcENaUqQKPc6oqOe4,162.413,60,7,1,4,0.978,0.484,0.262,5.99e-05,0.117,-13.286,0.0263,0.332,98.516
"Fido, Your Leash Is Too Long",7pmOj2mfBmq3nHpHIvPnTI,153.946,31,2,1,5,0.0016,0.788,0.648,0.893,0.656,-10.744,0.082,0.299,119.995
