White Christmas,7IiWdCebKD9AhpHhqzqhBN,172.92,40,10,1,4,0.795,0.423,0.776,0.0,0.201,-7.08,0.0578,0.396,122.236
Frosty the Snowman,7n5m8nDAnyXo81tr4B3Bcw,136.306,65,7,1,4,0.228,0.382,0.879,0.0,0.408,-7.584,0.0642,0.559,143.741
The Bells of St. Mary,1ktQ6en7c8R42MNaTMS6kW,175.36,35,7,1,4,0.538,0.251,0.781,3.88e-06,0.454,-7.607,0.0453,0.36,146.437
Santa Claus Is Coming to Town,2lT2w8qVNDUAzrdO4yCdxE,204.0,42,7,1,4,0.885,0.416,0.831,0.00184,0.345,-7.462,0.0875,0.254,77.946
Sleigh Ride,5ASM6Qjiav2xPe7gRkQMsQ,181.266,78,2,1,4,0.403,0.529,0.772,2.21e-06,0.316,-7.013,0.0287,0.853,91.751
A Marshmallow World,7GNsHkiYPcQQjvhTiILFUL,143.133,46,5,1,4,0.748,0.316,0.78,2.18e-05,0.317,-6.988,0.0517,0.653,154.636
I Saw Mommy Kissing Santa Claus,0EwuAHdON2ma8UBa7Flpee,157.613,50,9,1,4,0.189,0.311,0.664,7.34e-06,0.129,-8.179,0.0377,0.356,146.292
Rudolph the Red-Nosed Reindeer,24bMh8AF6XZsklVgnHwlrP,151.133,48,9,1,4,0.614,0.366,0.788,3.61e-05,0.123,-7.001,0.0385,0.589,135.869
Winter Wonderland,12YAgUbl6Uk9E7fzopF4Ji,146.08,48,0,1,4,0.604,0.487,0.759,0.0,0.185,-8.093,0.0408,0.447,122.306
Parade Of The Wooden Soldiers,2t1rFVhlcummHG9ZG4JeNZ,175.013,33,9,1,4,0.79,0.579,0.786,0.000132,0.156,-5.919,0.0356,0.629,143.01
Christmas (Baby Please Come Home),46pF1zFimM582ss1PrMy68,166.453,68,8,1,4,0.395,0.325,0.759,0.000362,0.0773,-7.146,0.053,0.36,126.627
Here Comes Santa Claus,0BZADNTotC07pQ6PFGRLGS,123.746,44,9,1,4,0.719,0.45,0.848,4.39e-06,0.461,-5.763,0.0418,0.691,162.972
Silent Night,3jSoCdCbyZ2gMrQ9J3LA47,128.053,30,7,1,3,0.863,0.181,0.325,0.0929,0.107,-12.931,0.0339,0.313,153.421
