Ando Meio Desligado,1MhkTY7vEuWR0VfDefE6Lf,285.92,53,0,1,4,0.625,0.478,0.796,1.25e-06,0.249,-6.022,0.0384,0.833,128.009
Quem Tem Medo De Brincar De Amor,0F1AMVwnyVwWpSa1Lryd5r,225.08,30,7,1,4,0.201,0.443,0.902,2.19e-06,0.0561,-4.308,0.127,0.741,137.489
"Ave, Lúcifer",6T38taK5iVxfdOToLvGi7r,139.76,37,2,0,4,0.655,0.401,0.366,0.0,0.144,-8.883,0.0384,0.276,77.652
"Desculpe, Babe",0cqx5jILzC9MpeOJg1DL08,168.92,32,11,0,4,0.415,0.572,0.53,0.0,0.0961,-5.732,0.0265,0.555,111.127
Meu Refrigerador Não Funciona,6FI7ErssBsLlz0bQyjXeIc,380.546,33,8,1,3,0.0206,0.313,0.733,0.00446,0.116,-7.705,0.0676,0.386,98.082
Hey Boy,2aZUjb1RksBi5TR71jK3Or,167.76,33,2,1,4,0.468,0.647,0.44,0.0,0.547,-7.379,0.0269,0.734,93.736
Preciso Urgentemente Encontrar Um Amigo,1hpUq8k0SeTlphRmq9Vv0z,230.413,25,0,1,4,0.0278,0.363,0.752,0.000931,0.234,-6.826,0.0559,0.457,146.941
Chão De Estrelas,2FGMTl7PuW4qdQAfuGWZbz,191.92,24,9,0,4,0.799,0.39,0.529,0.0,0.289,-6.194,0.0845,0.483,89.529
Jogo De Calçada,2FVcD7izMOVoimcyQAr8vt,246.693,24,0,1,4,0.345,0.36,0.769,0.0014,0.211,-7.014,0.0541,0.845,102.698
Haleluia,5KIUXIhbJyymkSUNyPtGSi,219.92,21,7,1,4,0.000627,0.316,0.672,0.332,0.0509,-6.286,0.0478,0.395,109.331
Oh! Mulher Infiel,0yT9o8TSnL6hrs6Pw0C5az,259.746,21,0,1,4,0.0199,0.424,0.779,0.481,0.0985,-7.689,0.104,0.339,150.721
