A Hard Day's Night - Remastered 2009,5J2CHimS7dWYMImCHkEFaJ,154.2,67,0,1,4,0.137,0.59,0.805,0.0,0.0996,-6.481,0.0371,0.797,138.514
I Should Have Known Better - Remastered 2009,3pU1CUgPiFfxPCpscwIwQR,163.08,61,7,1,4,0.257,0.682,0.444,0.0,0.115,-7.689,0.0289,0.91,130.704
If I Fell - Remastered 2009,1hgvykolO4kBIEozATmpyj,139.466,63,2,1,4,0.68,0.665,0.31,0.0,0.0877,-8.928,0.0278,0.568,108.211
I'm Happy Just To Dance With You - Remastered 2009,0gd50I2gKioJ59C827EdAY,116.373,58,6,0,4,0.138,0.658,0.537,0.0,0.0572,-7.535,0.0307,0.887,132.115
And I Love Her - Remastered 2009,65vdMBskhx3akkG9vQlSH1,149.693,68,1,0,4,0.64,0.767,0.331,0.0,0.0681,-10.777,0.0337,0.636,113.312
Tell Me Why - Remastered 2009,0Wzp5pWPoX0YoBg002HXL9,128.693,49,11,0,3,0.586,0.267,0.688,0.0,0.307,-6.309,0.0388,0.797,150.942
Can't Buy Me Love - Remastered 2009,3SdingSsFcZDZAyvcJbgAw,131.866,65,0,1,4,0.283,0.483,0.677,0.0,0.321,-5.91,0.0593,0.842,170.72
Any Time At All - Remastered 2009,70XHAdaMaoLIOVb1hSaeJ4,131.28,48,2,1,4,0.366,0.612,0.719,3.88e-06,0.437,-7.026,0.0398,0.744,141.016
I'll Cry Instead - Remastered 2009,01xMiErR26kH1KCif6uEYI,105.986,46,7,1,4,0.0917,0.643,0.73,0.0,0.253,-6.859,0.0347,0.96,96.711
Things We Said Today - Remastered 2009,0voUr8lubIafUVJlauJxYF,155.333,58,2,0,4,0.239,0.551,0.575,0.0,0.112,-8.208,0.0332,0.516,137.054
When I Get Home - Remastered 2009,4oLQ0imA5IDtNUnhFKY87q,136.64,45,9,0,4,0.384,0.568,0.793,0.0,0.388,-6.201,0.0482,0.64,125.375
You Can't Do That - Remastered 2009,5b9G4dtK3Tdguuy9BO3Nwo,154.893,48,0,1,4,0.367,0.612,0.788,0.0,0.382,-6.251,0.0335,0.961,129.161
I'll Be Back - Remastered 2009,3lSi6qfnp2YZazTzcOLBZk,144.186,50,9,1,4,0.744,0.721,0.527,0.0,0.186,-7.224,0.0293,0.641,123.902
