Death On Two Legs (Dedicated To...) - Remastered 2011,4J0kN8QS2esY6cWBsFjtW9,223.173,48,2,1,4,0.334,0.395,0.698,6.44e-05,0.155,-6.244,0.0573,0.455,124.66
Lazing On A Sunday Afternoon - Remastered 2011,12TZzfqJyY3UvtZ3lq1WmY,67.4,47,3,1,4,0.445,0.643,0.579,0.00107,0.109,-9.165,0.0555,0.712,131.901
I'm In Love With My Car - Remastered 2011,1EID0aupOLdv4ZDQu2Jbrz,184.893,38,4,0,3,0.0129,0.299,0.818,8.74e-06,0.202,-8.542,0.0683,0.34,143.583
You're My Best Friend - Remastered 2011,4OKf7CcYuw5H2HptkcKxcP,170.8,60,0,1,4,0.158,0.518,0.761,0.00765,0.0715,-7.025,0.0452,0.576,118.738
'39 - Remastered 2011,0kIpcu3DQacQObHVyra9Jx,210.8,49,8,1,4,0.0275,0.519,0.584,0.0,0.111,-9.67,0.027,0.336,101.632
Sweet Lady - Remastered 2011,2pruzOkBkSBr74tpmtJIXU,242.133,34,9,1,3,0.0127,0.31,0.859,4.57e-05,0.596,-8.937,0.0754,0.593,119.006
Seaside Rendezvous - Remastered 2011,5w49nWH532c39tuJ3kthEm,134.133,39,0,1,4,0.386,0.444,0.7,0.0,0.253,-5.494,0.14,0.761,167.538
The Prophet's Song - Remastered 2011,1Ji1gZtpgMBepbNpyiLfgv,500.96,36,2,0,4,0.316,0.397,0.451,5.89e-05,0.347,-9.812,0.0461,0.178,139.284
Love Of My Life - Remastered 2011,790YJcgHlN3SaosQCHlWzn,217.4,59,5,1,4,0.936,0.331,0.183,9.07e-06,0.115,-11.63,0.0287,0.26,79.195
Good Company - Remastered 2011,1AwRWJXurNEFSTwQdViYqD,203.44,34,6,1,4,0.779,0.5,0.418,1.79e-05,0.346,-11.277,0.0444,0.51,183.067
Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,354.32,74,0,0,4,0.288,0.392,0.402,0.0,0.243,-9.961,0.0536,0.228,143.883
God Save The Queen - Remastered 2011,5lI8wWbYEwDuph9hoPd1s6,75.346,33,7,1,4,0.666,0.104,0.293,0.889,0.31,-15.24,0.0327,0.23,90.742
Keep Yourself Alive - Long Lost Retake / June 1975 / Remastered 2011,0hpe7o5pdxzlTXvdd0s5CR,243.56,36,4,1,4,0.185,0.488,0.797,0.000222,0.0989,-9.029,0.142,0.447,135.267
Bohemian Rhapsody - Operatic Section / 2011 A Cappella Mix,6jcke26uBtJeRlo7U7glLG,63.453,31,10,1,4,0.658,0.772,0.591,0.0,0.0748,-12.388,0.57,0.698,75.838
You’re My Best Friend - Backing Track Mix,49L5s7lTES5EVnyGO09H0S,177.893,34,0,1,4,0.0428,0.567,0.727,0.906,0.0991,-8.802,0.0435,0.577,120.998
I’m In Love With My Car - Guitar & Vocal Mix / 2011,0ydMeIKHW3PB3vrygvjoHx,198.466,28,7,1,4,0.873,0.257,0.584,0.13,0.383,-10.625,0.0413,0.517,98.213
"'39 - Live At Earl’s Court, London / June 1977",0u2ydS9Bbw4YHFYQ3rHBoM,226.48,30,7,1,4,0.348,0.477,0.584,0.0,0.695,-9.455,0.0407,0.207,101.803
Love Of My Life - Live In Argentina / June 1979,2Xfp6J2NZ3htDoOTIT2P3D,223.733,33,2,1,4,0.885,0.209,0.413,2.07e-06,0.892,-10.188,0.0327,0.206,85.507
