Politik,0u35Dpz37TY2M2j20RUdMf,318.626,61,5,0,4,0.0364,0.262,0.482,0.000189,0.11,-7.75,0.0294,0.063,170.968
In My Place,2nvC4i2aMo4CzRjRflysah,226.68,72,9,1,4,0.0553,0.424,0.588,4.95e-06,0.298,-5.455,0.0278,0.193,144.636
God Put a Smile upon Your Face,4hf0hL4kWyjWztZzVsM39V,297.306,64,9,1,4,0.175,0.611,0.556,7.14e-05,0.0359,-5.761,0.0288,0.252,126.532
The Scientist,75JFxkI2RXiU7L9VXzMkle,309.6,84,5,1,4,0.731,0.557,0.442,1.46e-05,0.11,-7.224,0.0243,0.213,146.277
Clocks,0BCPKOYdS2jbQ8iyB56Zns,307.879,77,5,0,4,0.599,0.577,0.749,0.0115,0.183,-7.215,0.0279,0.255,130.97
Daylight,4fP4xTSBli3tKck172LEZ4,327.8,54,11,1,4,0.00976,0.453,0.571,0.518,0.0846,-6.117,0.0314,0.189,132.787
Green Eyes,3ou9rSNUQnE7XYmJkUUIOc,223.04,63,9,1,4,0.539,0.607,0.405,6.7e-06,0.231,-8.607,0.0265,0.233,129.543
Warning Sign,4bPkBHKLKd9WHizsvM2zV3,331.133,61,3,1,4,0.0942,0.532,0.433,0.0121,0.142,-9.423,0.0278,0.0395,140.666
A Whisper,7KolrFGhfDi1JTSgQBT5sI,238.333,58,0,1,3,0.586,0.277,0.797,0.341,0.221,-5.66,0.0385,0.26,177.004
A Rush of Blood to the Head,4JJ5zGKnb1IpERyBrfmb1y,351.4,57,5,1,4,0.156,0.525,0.472,4.39e-06,0.29,-8.018,0.0255,0.116,138.39
Amsterdam,2uQ4px5SPONsgcUpulywIQ,319.36,56,3,1,4,0.836,0.269,0.176,0.0343,0.122,-10.463,0.0296,0.105,78.861
