Brasil Pandeiro,2Er0f1mhO0g1rov9Cdi5Wk,235.106,49,11,1,4,0.791,0.549,0.555,0.000311,0.117,-7.144,0.0344,0.876,97.724
Preta Pretinha,0q1hmhVWdR04mZup6mR56u,397.493,52,7,1,4,0.845,0.704,0.561,7.65e-06,0.108,-7.177,0.033,0.773,124.861
Tinindo Trincando,6svLbrgArGrmY2YIb0WmUY,204.506,43,7,1,4,0.584,0.688,0.921,6.86e-05,0.355,-7.132,0.0553,0.811,120.309
Swing de Campo Grande,5V0HmhGqwjoDq0cHlI05GS,189.04,49,11,0,4,0.781,0.764,0.697,0.0,0.163,-7.346,0.0525,0.937,104.016
Acabou Chorare,1ZetCeq3ZOSD2k64UNEBqf,253.173,54,6,0,4,0.947,0.725,0.181,0.00387,0.111,-13.824,0.0411,0.357,111.122
Mistério do Planeta,3TAMiM8XFmU9vFd333pgRh,217.96,60,1,0,3,0.8,0.61,0.495,2.52e-05,0.083,-8.399,0.0891,0.683,146.878
A Menina Dança,3pSTUZbp7J5jg2JHChTf21,232.2,58,9,0,4,0.772,0.581,0.677,0.00468,0.129,-7.428,0.0422,0.91,105.468
Besta é Tu,79Lam1bAWszDiRLTH2V4ue,264.933,43,4,1,4,0.404,0.695,0.768,5e-06,0.11,-5.7,0.0439,0.979,111.681
Um Bilhete Pra Didi,6GMfiXYhCd2rkWhM9AWnLI,172.173,38,4,1,4,0.135,0.363,0.892,0.887,0.626,-7.003,0.0533,0.936,145.577
Preta Pretinha,3KW0T6ilz4UZn31LsgoK3F,202.813,38,7,1,4,0.745,0.7,0.706,7.01e-06,0.151,-7.745,0.0512,0.781,124.842
