Zoo Station,01E97908af7cRmFC9XXekH,276.16,46,7,1,4,1.63e-05,0.585,0.777,0.516,0.0533,-10.368,0.0412,0.687,128.833
Even Better Than The Real Thing,4bK2vKMdkS0rNhbzRqAZe0,221.373,50,7,1,4,0.00112,0.505,0.759,0.000365,0.168,-6.871,0.0303,0.65,128.63
One,3G69vJMWsX6ZohTykad2AU,276.186,77,0,1,4,0.245,0.392,0.534,0.00104,0.155,-8.793,0.0369,0.325,181.305
Until The End Of The World,4iiX7axMHcc76BGM0QJEY5,278.48,55,2,1,4,5.79e-05,0.502,0.68,0.33,0.507,-10.438,0.029,0.573,102.252
Who's Gonna Ride Your Wild Horses,4SzIZFruLhiAzhuMtAhIRt,316.426,54,7,1,4,0.0302,0.432,0.679,0.000435,0.053,-10.594,0.0366,0.414,132.678
So Cruel,3TPFVnDjojd7fsvLAizX0H,349.213,47,9,1,4,0.00428,0.598,0.56,0.0067,0.121,-10.89,0.0458,0.38,92.086
The Fly,4nBln1vXTHnJzXvNgvXyIA,269.053,49,11,0,4,3.52e-05,0.507,0.934,0.0253,0.161,-8.888,0.0553,0.417,108.345
Mysterious Ways,50JK22El2PTIzZBU2liLDI,243.586,62,8,1,4,0.00156,0.674,0.659,0.00765,0.108,-8.049,0.0277,0.697,99.768
Tryin' To Throw Your Arms Around The World,5JZZtxJNwImgPCvLXfu0PU,232.573,43,2,1,4,0.00592,0.493,0.331,0.167,0.127,-15.706,0.0293,0.16,89.977
Ultra Violet (Light My Way),5WCtoomAl0y1mgVh1Yuj0a,330.506,55,1,0,4,0.000305,0.481,0.705,0.339,0.141,-11.101,0.0313,0.249,107.647
Acrobat,7AGGClp7SmBnepuiua7DPG,270.066,43,9,0,3,4.39e-05,0.423,0.693,0.1,0.0993,-9.948,0.0331,0.134,100.564
Love Is Blindness,3MqgRB20fpPXIovSSuK7na,263.346,44,10,0,4,0.363,0.263,0.383,0.208,0.12,-13.418,0.0503,0.166,145.979
Lady With The Spinning Head (UV1),4qVuq0BGx7oAam76aHtUyb,233.226,38,9,1,4,0.0473,0.433,0.842,0.298,0.0853,-7.222,0.0434,0.812,107.752
Blow Your House Down,6Zbt6Fo9yGcdVTZ9jO4pli,210.04,36,9,1,4,0.00136,0.471,0.711,1.98e-05,0.193,-7.348,0.0477,0.371,134.018
Salomé,3MITIlk0E1QtqjjDCJYSQz,271.786,36,7,1,4,0.00475,0.762,0.681,0.638,0.107,-10.318,0.0392,0.684,128.969
Even Better Than The Real Thing - Single Version,3Cv7PGOp1sOoEHvzo7s9d9,220.586,36,7,1,4,0.00215,0.494,0.805,8.72e-05,0.251,-6.753,0.0305,0.723,128.998
Satellite Of Love,2n4TtbosMZGBqsLDZo0jcu,240.0,38,6,1,4,0.65,0.512,0.41,0.028,0.118,-9.32,0.0323,0.233,100.076
Who's Gonna Ride Your Wild Horses - Temple Bar Remix,7lloRQpqtJi2sVS1J7eZ40,288.733,38,0,1,4,0.00819,0.53,0.771,3.64e-05,0.0803,-8.283,0.0292,0.815,132.693
Paint It Black,3uYsvFySXQfGfBq545GHk1,200.546,37,1,1,4,0.000986,0.454,0.768,0.000108,0.0797,-7.899,0.0416,0.597,149.404
Even Better Than The Real Thing - Fish Out Of Water Remix,55sJ8wMO1g7khH8d6m0pAC,249.106,36,2,1,4,0.000391,0.44,0.856,0.00274,0.164,-7.543,0.0524,0.369,130.02
Mysterious Ways - The Perfecto Mix,6d0rJVnUhwF4Cz5fE6rxPU,425.2,37,8,1,4,0.000494,0.635,0.843,0.0494,0.0903,-6.968,0.0446,0.487,99.416
Night And Day - Steel String Remix,0TihhwH04RAqJZlpjixH0G,417.306,36,7,1,4,0.000418,0.686,0.849,0.812,0.188,-9.852,0.0601,0.507,118.079
The Lounge Fly Mix,2iwAYgwAicQkuPScp1QFyd,387.706,34,9,1,4,3.41e-05,0.576,0.663,0.87,0.06,-9.868,0.0342,0.234,107.807
Fortunate Son,7cYoTJKDD6huKKJZdDLBAo,159.386,33,11,1,4,0.00203,0.5,0.887,4.42e-06,0.125,-7.303,0.0431,0.598,137.605
Alex Descends Into Hell For A Bottle Of Milk / Korova 1,3FMrUCaquJ0hhUwIN5ilRE,217.0,33,9,1,4,0.159,0.344,0.756,0.909,0.137,-9.564,0.0427,0.502,130.069
Where Did It All Go Wrong?,2Uw5nLOMAXdbDo0rFqT1Ou,236.386,32,2,1,4,0.00971,0.58,0.921,0.0231,0.404,-7.654,0.0338,0.884,126.865
