Mateus Enter,0aTCf09vOSzCCtNDE7EjXX,33.093,28,1,0,4,1.38e-05,0.634,0.638,0.000214,0.157,-8.416,0.0521,0.638,100.165
O Cidadão Do Mundo,1SkwlmVJaqikct9OqPPn78,200.866,38,7,1,4,0.00333,0.744,0.845,5.59e-05,0.0664,-8.912,0.0513,0.514,95.246
Etnia,6CBxNjjDlGZOziwUy7FEPG,152.466,30,11,0,4,0.00497,0.691,0.826,0.000106,0.116,-8.336,0.0403,0.589,102.292
Quilombo Groove (Instrumental),0dJDwMIsqXQqXQw3rOv8NK,151.733,28,9,1,3,0.0188,0.628,0.582,0.894,0.086,-10.092,0.0491,0.485,163.863
Macô (feat. Gilberto Gil & Marcelo D2),0imScR5S1c4YTXaDlq2rZq,249.506,0,2,1,4,0.306,0.775,0.925,0.0,0.404,-6.758,0.0639,0.491,100.074
Um Passeio No Mundo Livre,3yOvaLT5jMBem06folN4tq,240.0,30,0,1,4,0.0733,0.775,0.879,0.195,0.0823,-12.157,0.0657,0.73,95.042
Samba do Lado (feat. Fred 04),0dxE8YpUSXEJtqgQTsUWQw,227.226,28,2,1,4,0.00787,0.684,0.869,0.00029,0.132,-8.895,0.0437,0.56,105.991
Maracatu Atômico,3cR6v2bOwqi7znC8P5Vs1T,284.173,53,1,0,4,0.0142,0.748,0.729,0.000272,0.214,-8.924,0.0969,0.264,95.743
O Encontro De Isaac Asimov Com Santos Dumont No Céu,1Bbd0taHjqMAKsODuloFO3,99.026,26,7,1,4,0.0301,0.708,0.586,0.35,0.136,-13.666,0.16,0.0462,164.663
Corpo De Lama,7d21dnO9RlCEovzvnNp0AP,232.573,29,1,1,4,0.0205,0.745,0.735,0.0195,0.114,-8.753,0.121,0.534,100.54
Sobremesa,0oOP4Y9qJ0NSit6FMklNGr,240.0,28,2,1,4,0.00157,0.677,0.533,0.0719,0.0709,-10.376,0.0739,0.0899,178.146
Manguetown,1YrGWu68h115DkYinbJxRK,194.466,47,11,0,4,0.0914,0.747,0.869,0.00124,0.0682,-8.088,0.0394,0.754,133.011
Um Satélite na Cabeça,5JTlHYDXbJ4l2jyl87I57U,126.533,26,9,1,4,0.00082,0.553,0.895,0.0226,0.392,-7.213,0.0372,0.246,140.004
Baião Ambiental (Instrumental),3ODPDM65a1BZ80fAUKS5Gl,152.56,28,7,1,4,0.000306,0.752,0.715,0.858,0.118,-12.118,0.0713,0.75,110.292
Sangue De Bairro,4dQNuCwpHQ2Lq1D2lAbZyY,132.133,27,1,0,5,0.0334,0.374,0.957,0.245,0.372,-5.605,0.121,0.109,153.634
Enquanto O Mundo Explode,1x4IdqOXr1gqnm5m3758Ws,88.666,25,2,1,4,0.000606,0.385,0.951,0.0399,0.153,-6.727,0.132,0.652,134.234
Interlude Zumbi,5VTCZ6rWQjvGdWmuPlxc7N,71.533,24,5,0,3,0.655,0.788,0.954,0.00327,0.046,-8.915,0.0333,0.776,93.938
Criança De Domingo,2GPLQdufLv4P3nT5PStZ0F,208.133,27,2,1,4,0.0332,0.614,0.785,0.28,0.276,-9.163,0.0563,0.464,92.191
Amor De Muito,2PNiU4Hmwfll5A6sVzYYxh,175.24,26,2,1,4,0.0345,0.742,0.813,0.592,0.132,-9.748,0.0718,0.764,172.058
Samidarish (Instrumental),28OK1X5oncCN0MVN7osSwz,272.333,23,7,1,4,0.0161,0.328,0.0797,0.148,0.111,-13.44,0.0992,0.062,74.872
Maracatu Atômico (Atomic Version),0fowU80xntxi6ldbw5Tlrk,273.0,22,1,0,4,0.0721,0.744,0.852,0.00272,0.0376,-12.111,0.0691,0.561,97.036
Maracatu Atômico (Ragga Mix),7rKZ7YOsvK45Bh14Elat7C,210.066,20,9,0,4,0.0781,0.877,0.46,0.0,0.0351,-12.785,0.0851,0.684,99.992
Maracatu Atômico (Trip Hop),6b82nJHpR3OLJiLgDefmw5,221.4,21,11,0,4,0.0709,0.88,0.771,0.896,0.107,-12.385,0.0782,0.368,110.994
