"Paint It, Black",63T7DJ1AFDD6Bn8VzG6JE8,202.266,78,1,1,4,0.0493,0.464,0.795,0.00244,0.399,-9.267,0.0926,0.612,158.691
Stupid Girl,3hloNY7y2r53Cm3zkR7kZV,175.386,40,11,1,4,0.173,0.694,0.802,0.486,0.152,-11.918,0.0577,0.903,130.879
Lady Jane - Mono Version,19kAUW6NMzgDHKT19s7782,188.08,46,7,1,4,0.516,0.6,0.303,0.000123,0.0832,-16.408,0.0318,0.31,102.998
Under My Thumb,5lmGgOaixbwKHtpTzjJoqx,221.533,64,6,0,4,0.299,0.732,0.494,0.205,0.0919,-13.571,0.0406,0.799,126.986
Doncha Bother Me,0l49BLiXUhHD2A92ONuQ7k,161.186,38,9,1,4,0.516,0.544,0.812,0.0031,0.11,-11.191,0.0592,0.783,123.269
Think,3075GFD8j1WFyF1pUGbAuh,189.453,37,1,0,4,0.00507,0.612,0.603,0.134,0.18,-12.08,0.0438,0.606,133.038
Flight 505,1OBlQXdm2yQ2AjtpDhM7yc,207.093,36,5,1,4,0.0577,0.564,0.664,0.0154,0.213,-11.224,0.0487,0.868,134.068
High And Dry,6EePCjbtiMeb783pduiEJK,188.0,36,5,1,4,0.0492,0.552,0.489,0.00725,0.169,-13.629,0.0417,0.754,114.052
It's Not Easy,5Z7Xad6ghivPVONXAJFcst,176.266,36,3,1,4,0.686,0.644,0.824,3.06e-05,0.577,-11.15,0.0512,0.822,135.595
I Am Waiting,0JuW3zVUYjyW5BbtXq2to6,190.933,42,0,1,4,0.572,0.63,0.396,2.65e-05,0.083,-14.73,0.039,0.604,88.699
Going Home,2aVmwPRiY1DQMPpudL6wuF,673.266,37,9,1,4,0.0677,0.5,0.519,0.0759,0.223,-13.094,0.0531,0.472,130.685
