Watch That Man - 2013 Remaster,1vlcWaJV9hGbiQMbsh2d8t,270.344,41,7,1,4,8.97e-05,0.475,0.934,0.00994,0.0587,-7.579,0.0367,0.771,129.006
Aladdin Sane - 2013 Remaster,0iKRf868w4SYEBDILQu8ob,310.426,43,2,1,4,0.209,0.42,0.713,0.000586,0.12,-10.286,0.0409,0.555,117.853
Drive-In Saturday - 2013 Remaster,1cSrZX0EdEpbI8t9rG43Cl,272.6,44,7,1,3,0.348,0.302,0.56,0.0,0.0674,-9.528,0.037,0.43,201.015
Panic in Detroit - 2013 Remaster,39H1xVrwxDjeIzq4WMYIod,268.646,41,11,0,4,0.00622,0.426,0.798,0.00112,0.0981,-9.3,0.0399,0.767,93.655
Cracked Actor - 2013 Remaster,0V0oDdGkkCTLodcuiwQLXm,181.536,41,11,0,4,0.000295,0.436,0.878,6.24e-06,0.0807,-7.713,0.0893,0.598,126.12
Time - 2013 Remaster,1aBgL67Czpgnm87kbrQuzo,315.855,42,0,1,4,0.192,0.33,0.651,2.68e-06,0.105,-8.731,0.0398,0.37,145.178
The Prettiest Star - 2013 Remaster,2tjskutXjrrfAyoSw4q4kb,211.684,41,5,1,4,0.215,0.566,0.559,0.00227,0.324,-8.165,0.0334,0.606,118.276
Let's Spend the Night Together - 2013 Remaster,0Mxo6w8hWMwDN2C0eygceO,190.751,39,9,1,4,0.0152,0.442,0.881,0.000271,0.0514,-8.917,0.0429,0.93,163.875
The Jean Genie - 2013 Remaster,6uZtMNTfU5u8w6fsnXeOdb,248.013,60,9,1,4,0.378,0.58,0.571,5.13e-06,0.358,-9.116,0.0321,0.818,128.15
Lady Grinning Soul - 2013 Remaster,3ZFurUI2qESabUHHyIlxa8,235.255,50,4,1,4,0.0326,0.373,0.56,0.000166,0.0795,-8.419,0.0394,0.167,93.208
