I'd Have You Anytime - Remastered 2014,0wZuvGn7nZbKoyKOlwZQMF,177.426,56,7,1,4,0.741,0.556,0.345,0.0061,0.103,-11.176,0.0264,0.245,139.53
My Sweet Lord - Remastered 2014,0qdQUeKVyevrbKhAo0ibxS,281.226,76,1,0,4,0.0972,0.537,0.701,0.0,0.0832,-8.913,0.0335,0.583,120.919
Wah-Wah - Remastered 2014,5LeB999d5zGavmLn8zxExw,337.76,52,9,1,4,0.00151,0.36,0.891,0.185,0.291,-5.875,0.0341,0.604,96.39
Isn't It A Pity - Remastered 2014,25fDeVbN8AYWRriJfutwaG,430.866,54,7,1,4,0.00212,0.211,0.653,0.106,0.0605,-7.638,0.0264,0.285,73.393
What Is Life - Remastered 2014,76TpWFiK5YCgw1hy26DWZp,264.413,67,4,1,4,0.00654,0.468,0.833,0.000332,0.326,-5.847,0.0324,0.884,131.248
If Not For You - Remastered 2014,7ykaUgkdQWJLsMuOymTV2A,210.72,61,7,1,4,0.219,0.607,0.755,0.00399,0.082,-6.886,0.0317,0.867,116.119
Behind That Locked Door - Remastered 2014,2pTZsG61UdgMK24OLa3ofa,186.96,48,10,0,3,0.733,0.568,0.399,0.0359,0.132,-10.376,0.0297,0.46,117.451
Let It Down - Remastered 2014,1y94LxK8YjT2a6SfAw9KWY,298.16,44,9,1,4,0.0862,0.277,0.633,0.00182,0.0647,-7.709,0.0374,0.345,135.352
Run Of The Mill - Remastered 2014,3S574gsoQJl826YjsuRqSr,171.693,47,2,1,4,0.0319,0.537,0.639,0.00527,0.109,-7.901,0.0278,0.806,136.718
I Live For You - Remastered 2014,1Ifka4pq7ruw9DO15hk9ni,217.746,53,1,1,4,0.464,0.445,0.444,0.00558,0.124,-9.661,0.0246,0.222,71.629
Beware Of Darkness - 1st Version Recorded At Abbey Road / Remastered 2014,4z8TANeWtmi0u4GEvtKU7t,202.066,41,1,0,4,0.65,0.508,0.219,2.16e-05,0.156,-12.644,0.0351,0.0904,122.985
Let It Down - Original Guitar And Vocal / Remastered 2014,790HGH8bq17Mp5FhBqyrYM,235.826,40,9,1,4,0.691,0.537,0.171,0.000482,0.124,-13.532,0.0355,0.0391,123.849
What Is Life - Backing Track / Remastered 2014,5FfXnDyButTJP5dCwsQ8As,267.586,38,4,1,4,0.00056,0.484,0.759,0.702,0.258,-7.187,0.0275,0.956,131.25
My Sweet Lord (2000) - Remastered 2014,0oxHHrFsVjEznaaqd3uS1P,295.373,38,6,1,4,0.0473,0.523,0.667,0.0,0.116,-8.418,0.0274,0.498,121.361
Beware Of Darkness - Remastered 2014,6TRZDhDxS4PJs3nxh9FBzk,231.133,48,1,0,4,0.313,0.544,0.476,0.0104,0.105,-8.856,0.0276,0.185,121.714
Apple Scruffs - Remastered 2014,26sMc53X5ptxM2xgGBROzG,186.893,40,4,1,4,0.332,0.443,0.303,5.89e-05,0.104,-12.093,0.0321,0.509,88.373
Ballad Of Sir Frankie Crisp (Let It Roll) - Remastered 2014,0sX4OzAtIubFc4s9y5KrB7,228.373,50,11,0,4,0.0707,0.442,0.591,0.391,0.133,-9.595,0.0279,0.419,89.607
Awaiting On You All - Remastered 2014,2VXjgueoSOIxAEswR3uRsp,168.053,46,11,1,4,0.034,0.24,0.877,0.0,0.127,-6.401,0.0505,0.875,180.03
All Things Must Pass - Remastered 2014,6QLFNz62dpOgQTloWuUbNh,226.866,59,9,1,4,0.468,0.513,0.569,0.00134,0.111,-8.278,0.029,0.441,122.676
I Dig Love - Remastered 2014,7Gv21TfOtWHhpt1xEBf83e,297.293,39,1,0,4,0.579,0.672,0.546,0.00184,0.0786,-11.185,0.0324,0.512,97.141
Art Of Dying - Remastered 2014,7tMem33U649eRpq52kfbkw,218.8,41,9,1,4,0.00125,0.538,0.939,0.00222,0.302,-7.187,0.0758,0.615,127.743
Isn't It A Pity - Version Two / Remastered 2014,5ohpqemOoAXgKRkUGa2jHk,288.013,37,7,1,4,0.461,0.421,0.405,0.0922,0.0708,-10.448,0.0301,0.234,131.133
Hear Me Lord - Remastered 2014,20Oz13SWTgJ1Wdicx183SD,349.813,39,4,1,4,0.597,0.495,0.583,0.15,0.134,-7.613,0.0265,0.88,133.103
It's Johnny's Birthday - Remastered 2014,1egxY4YFcY2vgMp3FVyR9V,49.426,33,6,1,4,0.823,0.367,0.505,0.0,0.706,-12.299,0.0389,0.783,106.825
Plug Me In - Remastered 2014,6gGgxUEcnDBcFDZjWeztVI,199.693,34,0,1,4,0.00795,0.435,0.929,0.871,0.352,-7.608,0.0371,0.696,161.181
I Remember Jeep - Remastered 2014,7lOOJEcbnqTJnmS71ixD5k,488.186,34,5,1,4,0.26,0.399,0.879,0.857,0.33,-8.655,0.0488,0.699,75.727
Thanks For The Pepperoni - Remastered 2014,71USFXp4WmXb2jKMvNIgsd,332.266,33,0,1,4,0.0772,0.452,0.891,0.847,0.192,-9.846,0.0372,0.54,161.596
Out Of The Blue - Remastered 2014,1P5Z1wuraE6vHsr1oLlnQw,673.72,33,0,1,4,0.0557,0.26,0.773,0.904,0.125,-8.308,0.0427,0.215,168.2
