I Love a Rainy Night,0zvNHIL7ci0ZzIoWU6RO2u,191.066,62,0,1,4,0.122,0.685,0.718,0.0,0.0556,-7.724,0.0521,0.958,131.463
Drivin' My Life Away,3PJ9yQv8IUmLx24KFvaVEI,194.666,58,9,1,4,0.0966,0.66,0.639,0.00104,0.0442,-12.749,0.0369,0.843,84.124
Gone Too Far,648Ur5jhWSW43QuI2qXeII,203.773,22,7,1,4,0.422,0.787,0.625,0.0,0.194,-13.297,0.0321,0.938,131.62
Suspicions,19oPsdlHwigJm2Ewk1ypRb,260.866,32,5,0,4,0.325,0.601,0.293,8.46e-06,0.0813,-16.445,0.0509,0.652,143.362
I Can't Help Myself - Here Comes That Feelin',5FWc6wIT03eWgNlZJsBdiX,192.666,27,7,1,4,0.221,0.678,0.385,0.000123,0.116,-13.069,0.0266,0.67,102.253
Rocky Mountain Music,3373VKGKgKdlBHccBgh645,215.693,33,7,1,4,0.0658,0.732,0.539,0.00224,0.192,-12.217,0.0287,0.889,122.532
Two Dollars in the Jukebox,1Yy3y2bgRmvD5aNihMTzWP,145.2,22,5,1,4,0.0641,0.757,0.734,7.23e-06,0.091,-10.116,0.0294,0.94,134.413
Do You Right Tonight,2PZsNMxykovunRHfSNr9Bd,153.933,19,7,1,4,0.0311,0.663,0.648,9.28e-05,0.165,-11.743,0.026,0.967,104.58
Pour Me Another Tequila,2cXNYPkuqMNoHSD7YM6DUM,205.24,27,2,1,4,0.47,0.672,0.318,0.0203,0.0668,-17.951,0.0284,0.608,109.402
Hearts on Fire,39pdMOTmEhNQmfI73dwxDH,154.4,22,2,1,4,0.135,0.66,0.377,3.93e-05,0.134,-12.586,0.0264,0.658,105.561
