Sweet Jane,6FfW6UCP2xGzhVcPWiyP9t,261.2,37,9,0,4,0.0619,0.579,0.801,2.57e-06,0.0866,-7.398,0.0536,0.865,127.926
Momma's Little Jewel,641dtfYmSfdCGSwoika6aT,266.8,23,5,1,4,0.0719,0.543,0.858,5.66e-06,0.129,-6.388,0.05,0.821,121.212
All the Young Dudes,0WNGPpmWqzPnk0psUhJ3SX,211.066,63,4,0,4,0.208,0.429,0.668,0.0,0.538,-7.539,0.044,0.398,77.737
Sucker,4RyRHVMQO83QOegMOMXHq2,299.693,25,2,1,4,0.0603,0.577,0.753,4.73e-05,0.09,-6.715,0.0638,0.914,137.101
Jerkin' Crocus,1xKF80cHD0H6VydMJqK4st,240.8,22,2,1,4,0.0808,0.493,0.857,0.0,0.265,-6.281,0.0382,0.901,128.407
One of the Boys,3xyJQopi3TWy2ouP5A3EcS,406.133,26,7,1,4,0.00409,0.355,0.915,0.000464,0.35,-5.825,0.117,0.302,121.216
Soft Ground,4XafZ3SYHSfnapiqYfkVTZ,197.626,19,0,1,4,0.0917,0.386,0.791,0.206,0.0899,-8.213,0.0445,0.262,85.676
Ready for Love / After Lights,2XMmGaJiT0MnOdsUuEJOnP,405.773,27,7,1,4,0.116,0.388,0.635,4.56e-05,0.076,-7.806,0.0703,0.491,144.912
Sea Diver,2FyKZ35cDojbqabaNJ76pW,173.706,25,1,1,4,0.467,0.314,0.219,5.47e-06,0.0762,-11.842,0.0344,0.177,100.872
One of the Boys - Demo Version,25atP8LN3pp7CkcUjWXZmC,256.506,17,7,1,4,0.0456,0.568,0.859,0.338,0.237,-6.57,0.0373,0.758,118.387
Black Scorpio - Demo Version,2pEydj4lKBDjcOgUrVhX6l,213.64,16,7,0,4,0.00239,0.324,0.937,0.00107,0.393,-8.405,0.0411,0.831,145.55
Ride On The Sun - Demo Version,0mlLIkI9Y3qW7Io0gvPjl1,215.04,15,1,1,4,0.964,0.28,0.144,0.0188,0.11,-15.226,0.0317,0.158,90.168
One of the Boys - Single Verison,19uTSUtOAujIOhCeZIJV8F,259.733,15,7,1,4,0.00133,0.366,0.815,0.000175,0.133,-8.432,0.0908,0.332,119.514
All the Young Dudes - David Bowie & Ian Hunter Vocal,0mqSUEphLHhooUE91a9LHz,262.773,46,4,0,4,0.127,0.449,0.556,0.00077,0.199,-9.239,0.0419,0.413,77.51
"Sucker - Live at the Hammersmith Odeon, London, UK - 1973",6P5MCZlDUfXQ49fvg3ZDou,387.96,14,2,1,4,0.035,0.296,0.862,0.00028,0.644,-6.512,0.167,0.278,145.626
"Sweet Jane - Live at the Hammersmith Odeon, London, UK - 1973",0bUsdIPyliCSRP7kUoScHq,300.666,15,2,1,4,0.00365,0.393,0.951,0.00222,0.873,-5.714,0.147,0.551,136.242
