Irresistible,3znPiywA0q1VK2jgAZFDoI,206.506,64,2,1,4,0.0706,0.484,0.938,0.0,0.236,-3.123,0.112,0.444,165.049
American Beauty/American Psycho,3D4Xkcir5YEhk8Xidkd1dL,195.946,55,2,1,4,0.00711,0.492,0.932,0.0,0.177,-2.401,0.203,0.635,151.166
Centuries,04aAxqtGp5pv12UXAg4pkq,228.36,81,4,0,4,0.00359,0.393,0.858,0.0,0.102,-2.868,0.0729,0.56,176.042
The Kids Aren't Alright,3x7NGlfDKQYN2wnwEnL7r9,260.92,62,6,1,4,0.000246,0.615,0.763,0.141,0.298,-4.189,0.0322,0.333,115.991
Uma Thurman,5PUawWFG1oIS2NwEcyHaCr,211.573,70,4,0,4,0.103,0.623,0.962,0.000174,0.264,-2.616,0.0895,0.676,149.963
Jet Pack Blues,7d0R90VzB45UWf3Aey0X22,179.266,57,4,0,4,0.00784,0.548,0.889,0.00866,0.341,-4.52,0.128,0.365,156.041
Novocaine,5F0bmCjKUufNz1bHXfgRwe,226.866,59,2,1,4,0.0065,0.536,0.974,0.00102,0.357,-2.833,0.0969,0.481,135.997
Fourth Of July,1vrjcPplEuenckUzGGp2UR,224.36,59,4,0,4,0.139,0.481,0.974,0.00998,0.406,-3.388,0.136,0.516,79.964
Favorite Record,4vC4nKK6bk9pYEVOU4EIbA,203.413,54,2,1,4,0.00607,0.66,0.944,0.27,0.823,-3.692,0.0522,0.684,127.02
Immortals,3Te8uLyit6X3ncNW8Fp3K2,189.386,75,2,1,4,0.00131,0.616,0.868,1.54e-06,0.671,-3.606,0.0699,0.475,108.016
Twin Skeleton's (Hotel In NYC),2WWP0IPX9xFjAMraNHX390,220.413,56,2,0,4,0.00219,0.451,0.939,0.00223,0.366,-2.546,0.116,0.192,80.098
