Packt Like Sardines In a Crushd Tin Box,7he52OqF36BVF6dSVKKQPq,240.333,48,0,1,4,0.73,0.667,0.638,0.864,0.0933,-12.715,0.0384,0.652,124.615
Pyramid Song,3A9vIxzGBjEfqmDK7H9exS,288.733,61,11,0,4,0.786,0.127,0.335,0.427,0.111,-8.298,0.0329,0.0686,77.078
Pulk/Pull Revolving Doors,4doFWLhPChHDgs89rHs5nr,247.266,46,10,0,4,5.46e-05,0.58,0.625,0.725,0.1,-12.073,0.0903,0.14,97.043
You And Whose Army?,6UFvGJalSngqprmUJd59Eo,191.0,57,1,0,4,0.794,0.295,0.15,0.208,0.103,-10.243,0.0325,0.131,137.393
I Might Be Wrong,0JhpYE9xA3UpSFrmXTZyIF,293.773,58,7,0,4,0.263,0.601,0.735,0.795,0.11,-8.321,0.0255,0.505,102.891
Knives Out,2xbrMtkxp399aSiCJ8EAON,254.866,58,2,0,4,0.0911,0.433,0.675,0.293,0.159,-6.702,0.0337,0.184,137.268
Morning Bell/Amnesiac,3jaA0iP323UuDVVDA9sfSl,194.266,45,2,1,4,0.712,0.325,0.421,0.0495,0.0956,-6.23,0.0324,0.186,62.239
Dollars and Cents,2mvmuCtmmrERnm03ULdDye,291.733,45,7,1,4,0.395,0.325,0.565,0.245,0.112,-7.303,0.0306,0.0881,138.302
Hunting Bears,2zYrFer4QGSQkk5aUawfHB,121.2,49,7,1,4,0.853,0.302,0.265,0.926,0.0962,-12.203,0.0431,0.0742,140.207
Like Spinning Plates,1qVP3GP1pUhJxogteiIi78,237.466,46,1,0,4,0.713,0.493,0.41,0.907,0.23,-13.303,0.0646,0.218,138.462
Life In a Glasshouse,29yXMFKIrY1fFY4DYBVZCu,276.693,50,7,0,4,0.731,0.168,0.397,0.0378,0.116,-7.619,0.0323,0.0497,84.393
