Cheirando A Amor,2VKfhU2I3YyfO9wFiue6Hp,161.653,25,8,1,3,0.822,0.56,0.309,0.0134,0.134,-12.397,0.0414,0.124,124.311
Gota De Sangue,2hTnYpWgxPbW197EwbeAWm,144.146,25,7,1,3,0.981,0.454,0.168,0.000792,0.147,-12.141,0.0408,0.469,90.645
Tola Foi Você,6P42khgaVExw36ZLrBuTdZ,156.893,28,5,1,3,0.653,0.493,0.442,0.0,0.135,-9.16,0.0522,0.397,139.473
Não Há Cabeça,6B9l7FKxJmpEQDLhlEoUzo,230.093,20,0,1,4,0.927,0.351,0.224,4.38e-06,0.356,-10.541,0.032,0.21,90.791
Amor Meu Grande Amor,5eEfFfQq3ruywWA5uw7nhj,195.32,49,9,1,3,0.717,0.455,0.442,0.0,0.233,-7.793,0.0815,0.252,173.672
Me Acalmo Danando,6yXyCrAZROGM7cRfar6IBB,194.56,19,4,0,4,0.985,0.526,0.209,0.0192,0.235,-12.396,0.047,0.385,55.002
Agito E Uso,3guga1AVcVCsNaofwAuc9Z,155.493,19,0,1,4,0.762,0.34,0.868,5.3e-05,0.234,-6.073,0.2,0.513,216.185
Mares Da Espanha,3kSha4UNVxt0OvQOXrUF5k,196.333,20,4,0,4,0.641,0.528,0.444,0.0,0.318,-8.115,0.0499,0.29,110.569
Minha Mãezinha,0zDaQypZzgF9cw6Yge4NJh,145.546,18,7,1,1,0.624,0.528,0.511,0.0,0.325,-6.834,0.119,0.787,141.186
Balada Da Arrasada,7KEC9wNEonJYQpiR1OuzY3,166.186,27,11,0,1,0.514,0.694,0.551,4.71e-06,0.197,-8.109,0.0272,0.542,96.532
A Mim E A Mais Ninguém,0DJvmpvbh1BBBYjAj89XfK,185.04,21,0,1,4,0.233,0.481,0.701,0.0,0.0641,-7.638,0.107,0.728,138.106
Abre O Coração,2ymDsX2xDJ3mIlP2rui5gN,232.96,18,0,1,4,0.377,0.502,0.696,0.0,0.0899,-8.398,0.0558,0.34,142.921
