Sky Saw - 2004 Digital Remaster,1sr1NnVTSUZL2xGzlkiq1G,207.666,37,2,1,4,0.546,0.523,0.567,0.542,0.0926,-14.383,0.0387,0.644,95.475
Over Fire Island - 2004 Digital Remaster,5Sodk3mkwv4Gvp2sF3obaE,111.213,35,1,1,4,0.251,0.796,0.211,0.835,0.119,-21.909,0.0439,0.31,112.793
St Elmo's Fire - 2004 Digital Remaster,0UROPTHqU5C7TI1N8wOkIF,182.413,40,0,1,4,0.485,0.446,0.663,0.398,0.0804,-13.03,0.0388,0.464,169.754
In Dark Trees - 2004 Digital Remaster,41RiTUEXw8uoCtLd8pcHVy,151.573,36,6,0,4,0.52,0.651,0.379,0.796,0.0759,-15.299,0.0538,0.373,169.614
The Big Ship - 2004 Digital Remaster,2d9KBVxb6bUfVCjjv1JAVe,181.933,51,0,1,3,0.132,0.377,0.261,0.875,0.116,-15.708,0.0411,0.0457,117.994
I'll Come Running - 2004 Digital Remaster,6ZWVeMysm8Q8zZu3lKnY2v,229.784,48,9,1,4,0.558,0.589,0.488,0.0461,0.0918,-13.165,0.0322,0.811,124.774
Another Green World - Remastered 2004,660j84jp8ljIwLFiAFprlb,101.706,41,1,1,1,0.795,0.171,0.00383,0.883,0.0755,-21.71,0.0464,0.458,76.214
Sombre Reptiles - 2004 Digital Remaster,09owruFWkS2w3SXKdbmBbw,141.04,35,2,0,4,0.849,0.464,0.374,0.96,0.107,-16.651,0.0325,0.915,161.372
Little Fishes - 2004 Digital Remaster,3OfarDQxOfjSTctf9G26MA,94.6,33,0,1,4,0.968,0.342,0.0282,0.000561,0.104,-26.775,0.0405,0.199,93.152
Golden Hours - 2004 Digital Remaster,0ikLV7zMypPFyLH57cKpRO,240.16,42,0,1,4,0.816,0.735,0.353,0.74,0.111,-14.287,0.0421,0.396,119.06
Becalmed - 2004 Digital Remaster,3qq8XPwF2DoBhENRgLQ7ET,236.76,37,6,0,4,0.963,0.182,0.0444,0.889,0.342,-26.303,0.0416,0.0473,119.434
Zawinul/Lava - 2004 Digital Remaster,1Q3ku4n6R1Ax3IYTEevKIH,180.293,33,7,1,4,0.921,0.196,0.0106,0.828,0.115,-24.383,0.0431,0.0934,90.796
Everything Merges With The Night - 2004 Digital Remaster,5pAR56gg3tYThEeH0VM3iB,239.306,33,9,1,4,0.766,0.279,0.26,0.000177,0.155,-15.101,0.0314,0.158,105.417
Spirits Drifting - 2004 Digital Remaster,0CUTdiwHWlO3VGWHQxpbeo,156.773,32,9,0,3,0.864,0.24,0.133,0.926,0.092,-22.723,0.0484,0.0492,101.726
