The Best Is yet to Come (feat. Patti LaBelle),50jMtIGnaAz23WUUc98veI,357.826,36,7,0,4,0.709,0.475,0.439,0.000459,0.147,-9.899,0.106,0.28,74.876
East River Drive,7AWqLC5PXdy59uP2KZxNim,283.893,34,0,0,4,0.0811,0.752,0.347,0.428,0.0799,-16.389,0.046,0.816,80.176
Be Mine (Tonight) (feat. Grady Tate),2YEPUm6I2jmrh75dIKJou6,384.226,33,0,1,4,0.12,0.766,0.31,4.97e-05,0.122,-15.073,0.0497,0.421,113.283
Can You Dig It,5FLsSmUyrw523DJKyu2658,316.773,29,0,1,4,0.33,0.654,0.693,0.000276,0.144,-11.234,0.0575,0.537,110.424
In the Name of Love,2jGr0qIkXjGY9aJeTmOXRR,327.453,32,10,1,4,0.764,0.731,0.338,0.898,0.293,-12.499,0.0523,0.525,92.516
Just the Two of Us (feat. Bill Withers),1ko2lVN0vKGUl9zrU0qSlT,237.106,78,1,1,4,0.576,0.803,0.488,0.0609,0.0763,-9.303,0.0803,0.624,95.771
Jammin',6tbAEhjxQ3BYl8o0hoTCej,306.613,40,11,0,4,0.307,0.748,0.387,8.43e-05,0.114,-13.702,0.045,0.542,121.431
Little Black Samba,2LyKrhWYMH5cIiYMXMKoQC,341.306,34,10,0,4,0.0944,0.75,0.622,0.0,0.0483,-10.5,0.0543,0.964,110.922
Jet Stream,64ud2OdpQLk9fqd6uS4any,329.546,32,0,1,4,0.0393,0.619,0.483,0.0,0.176,-11.558,0.0427,0.547,104.944
"Let It Flow (For ""Dr. J"")",01hSQ5vpGZF0AyHm4SxYQA,347.986,31,9,0,4,0.146,0.745,0.618,0.06,0.0815,-7.873,0.0545,0.709,108.75
