Welcome To The Jungle,0G21yYKMZoHa30cYVi1iA8,273.48,72,8,1,4,0.0195,0.453,0.987,0.283,0.268,-4.485,0.0889,0.316,123.544
It's So Easy,58YL9Jo1T0wyijCOZWRmyL,202.693,53,8,1,4,0.0207,0.387,0.989,1.12e-05,0.126,-6.182,0.163,0.216,150.763
Nightrain,7CBFRsUz1pz1cS12soVhih,268.213,56,1,1,4,0.13,0.394,0.995,0.00459,0.263,-4.946,0.105,0.199,148.196
Out Ta Get Me,62pJJQjiTaTsFYFjDIYjYU,263.573,50,11,1,4,0.0257,0.395,0.988,0.146,0.353,-4.877,0.111,0.365,140.849
Mr. Brownstone,65G4Ib3w7tgLjUkO5GseN0,228.586,56,8,1,4,0.0307,0.491,0.974,2.62e-06,0.274,-6.695,0.0486,0.527,106.281
Paradise City,6eN1f9KNmiWEhpE2RhQqB5,405.6,72,11,1,4,0.0192,0.268,0.98,0.00709,0.182,-5.958,0.103,0.395,100.315
My Michelle,1NQPc9znr56Ci6f02HoLpg,219.933,52,8,1,4,0.158,0.459,0.97,0.00483,0.476,-6.16,0.0583,0.282,103.505
Think About You,4WPyOlL7E6ckUcCUzIKNJe,231.56,48,1,1,4,0.0425,0.237,0.992,0.00668,0.0755,-5.215,0.129,0.256,170.627
Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,356.066,73,6,1,4,0.0901,0.446,0.952,0.0857,0.112,-5.321,0.0523,0.624,125.303
You're Crazy,4WWUSzyxCUengfmWvKCdhR,197.013,48,8,1,4,0.0137,0.402,0.994,0.0163,0.399,-4.436,0.132,0.268,122.223
Anything Goes,4x1iqAZIrfetO4o45KHhcC,206.173,47,1,1,4,0.0321,0.374,0.988,0.141,0.324,-4.706,0.0744,0.321,152.31
Rocket Queen,0xaNdYwK8ZF3cHSjraQGC0,373.266,53,5,0,4,0.0303,0.446,0.978,0.161,0.0376,-5.275,0.0443,0.4,111.797
