Aqualung,5UuikgHTxSRFRnC0zXx10i,396.186,65,7,0,4,0.0649,0.477,0.479,0.029,0.0906,-11.887,0.0483,0.662,122.531
Cross-Eyed Mary,6MBZyLisOWTChcevgFqwVr,250.2,52,0,1,4,0.179,0.575,0.696,0.00114,0.315,-10.01,0.12,0.646,86.304
Cheap Day Return,46ITAa2MkDCQQQbVJv1cTN,80.88,41,11,0,4,0.0732,0.476,0.251,0.0323,0.149,-17.617,0.0339,0.498,81.117
Mother Goose,5RsfvV4oSchEPH6t93C1lR,232.8,42,7,1,4,0.663,0.683,0.296,4.47e-06,0.082,-15.301,0.0341,0.826,97.363
Wond'ring Aloud,7bo2X63U1NpKYMXV1mZFkq,113.426,44,10,1,3,0.633,0.579,0.197,0.00502,0.592,-16.606,0.0353,0.67,148.295
Up to Me,4eswKSdbIeYn0gMwZDuvRM,194.186,40,4,0,4,0.406,0.646,0.489,1.15e-06,0.241,-10.046,0.0417,0.802,100.802
My God,1pkoB8ZiZymyyIvaZmKElJ,431.053,42,2,1,3,0.733,0.54,0.37,0.000932,0.0886,-12.017,0.0463,0.208,88.36
Hymn 43,2it4DH8fqcCkSTCmqY5gzk,196.68,41,7,1,4,0.081,0.491,0.791,6.87e-06,0.447,-8.801,0.036,0.88,93.116
Slipstream,1QhqX9moYeL8V4ZnOXirEH,71.106,37,10,1,5,0.85,0.371,0.195,5.78e-06,0.636,-17.042,0.04,0.668,153.618
Locomotive Breath,0MYNeFsKpzBHwrJGfWZysV,266.013,60,11,0,4,0.417,0.68,0.53,0.011,0.0559,-13.105,0.0889,0.352,124.551
Wind-Up,35KrMfAdlfZWmoIOlwO74m,360.933,38,2,1,4,0.165,0.444,0.42,0.0,0.0459,-12.256,0.0791,0.474,146.932
Lick Your Fingers Clean,2uDINz5D5dJpb6iQnd0IYM,166.333,35,5,1,4,0.217,0.567,0.626,0.0,0.423,-13.587,0.0419,0.759,134.777
Wind-Up,2zQlfgqYJvPkISWFQwWWHs,323.466,34,0,1,4,0.102,0.453,0.241,0.0,0.19,-17.559,0.289,0.341,166.014
Ian Anderson Interview,1YRW7IE2T1W8vhbtaQjRXC,838.56,30,10,0,4,0.893,0.613,0.131,0.0,0.188,-28.665,0.94,0.59,87.442
