"Hold On, Be Strong",7g8S0N45Tkp7yE1WEWRwyu,72.586,42,11,0,4,0.455,0.388,0.291,0.65,0.0873,-16.709,0.0313,0.16,140.875
"Return of the ""G""",1wYp8ISMvX8qrflPrBU9Yo,289.16,48,2,1,4,0.00214,0.48,0.615,0.0,0.29,-7.269,0.361,0.202,73.427
Rosa Parks,0shK5iZQppbHPQYiy60xs9,324.373,66,6,0,4,0.105,0.792,0.701,0.0,0.761,-7.198,0.283,0.251,103.89
Skew It on the Bar-B (feat. Raekwon),6EQ4orawx8eo0aXH0pOKLE,195.106,51,2,1,4,0.221,0.931,0.815,4.31e-06,0.0584,-4.801,0.295,0.528,107.647
Aquemini,4V3N5LvUOh3yDPP16cwAhE,319.24,58,1,0,4,0.245,0.707,0.661,0.0,0.176,-5.711,0.39,0.157,89.197
Synthesizer (feat. George Clinton),3sQDstyMhCcDJ3mY6onZez,311.653,45,0,0,4,0.0109,0.629,0.66,0.0,0.491,-6.645,0.376,0.469,189.649
Slump,4ufZSKCI84Pd2ZlWTJcu4i,308.733,46,1,1,4,0.133,0.737,0.676,0.0,0.385,-4.769,0.399,0.389,92.904
West Savannah,5yTQ7Vy6EwKwB64Vho90LI,246.28,46,0,1,4,0.0314,0.689,0.558,0.0,0.586,-6.565,0.437,0.473,84.942
Da Art of Storytellin' (Pt. 1),1KQymTxNJfWk6vCD5ywKW2,222.653,55,2,1,4,0.107,0.749,0.856,0.0,0.745,-5.833,0.235,0.402,103.773
Da Art of Storytellin' (Pt. 2),2vjgepbkQg5jH8ujrKEOin,172.026,45,10,0,4,0.000597,0.719,0.925,0.00575,0.0624,-5.235,0.159,0.262,92.843
Mamacita,32PWtlzKyvr3HcvJp1JFF5,352.506,41,1,1,4,0.0478,0.495,0.716,0.0,0.353,-6.479,0.364,0.469,167.863
SpottieOttieDopaliscious,4GdB5M7GbwLZLouktYocFC,426.853,62,1,1,4,0.00259,0.828,0.656,0.0024,0.144,-6.571,0.222,0.709,124.751
"Y'All Scared (feat. T-Mo, Big Gipp & Khujo)",5LAgMMJQ42fF8yKLKF3Wiw,290.173,41,2,1,4,0.0588,0.631,0.67,0.0,0.332,-6.37,0.285,0.134,87.275
Nathaniel,6NqUceA124QO9v5jYv0QCg,70.28,38,5,1,4,0.996,0.65,0.467,0.703,0.518,-15.31,0.631,0.575,101.221
Liberation (with Cee-Lo),1H6S9OkozTNvcASUX4Bfgb,526.373,50,11,1,4,0.0841,0.66,0.63,5.85e-05,0.0819,-9.615,0.147,0.59,157.596
Chonkyfire,4mrR64jwacrmiZluhBelDB,371.253,44,8,1,4,0.0617,0.595,0.675,0.0,0.1,-8.817,0.465,0.358,90.966
