Viola Meu Bem,23ZCAWkEyq8IkztAUNM5xR,49.173,20,2,1,4,0.899,0.706,0.62,0.000301,0.19,-14.671,0.919,0.411,108.19
De Conversa / Cravo E Canela,1ZCk0sJRinf8HRtzBSINnv,344.0,17,0,1,4,0.926,0.549,0.25,0.000588,0.119,-16.267,0.467,0.485,87.653
Tu Me Acostumbraste,5nj7BQ6Ql0n4NNoIiqqR1u,177.826,34,9,0,4,0.917,0.596,0.138,0.000466,0.0998,-14.436,0.047,0.384,93.628
Gilberto Misterioso,4mmbkaKqitR7ZawXSmaEn8,290.106,17,2,0,4,0.768,0.486,0.245,0.00177,0.15,-17.764,0.0696,0.0878,87.464
De Palavra Em Palavra,7KWUyUDsTdgxGqcvvaXlJt,80.0,31,10,0,4,0.4,0.272,0.0199,0.0203,0.294,-16.613,0.0441,0.102,147.104
De Cara / Eu Quero Essa Mulher - Medley,4RwxkT90x4BvWl0bhYZPcr,253.893,19,11,0,4,0.00278,0.387,0.814,0.0319,0.337,-12.065,0.147,0.736,143.435
Sugar Cane Fields Forever,2fjE2R4XZLfFFGt12j0wuG,615.173,17,6,0,4,0.745,0.508,0.681,0.022,0.121,-13.262,0.321,0.637,109.078
Julia/Moreno,4OMRn3nov7f0HgVOUqoBWQ,198.826,21,4,1,4,0.821,0.566,0.335,0.0,0.115,-16.296,0.038,0.495,130.239
Épico,08yqiVsQ2fzmz96E9NnpD6,246.04,13,2,1,4,0.657,0.206,0.464,5.17e-05,0.168,-14.291,0.0526,0.248,77.924
Araçá Azul,5FyYF8r0EZAxImogHorKcn,80.026,21,3,1,4,0.848,0.604,0.0673,8.03e-06,0.113,-17.305,0.0392,0.307,113.714
