Purple Haze,0wJoRiX5K5BxlqZTolB2LD,170.813,72,2,1,4,0.00876,0.533,0.905,0.578,0.0698,-5.27,0.0754,0.486,108.9
Manic Depression,3f5JtAsGRIXN8pSAeTi6vA,222.293,50,1,1,3,0.0134,0.357,0.969,0.0677,0.141,-4.99,0.124,0.704,149.741
Hey Joe,0NWPxcsf5vdjdiFUI8NgkP,210.16,71,9,1,4,0.00603,0.346,0.768,0.38,0.0244,-5.695,0.0377,0.532,169.492
Love Or Confusion,46omDVahYovje7GLtFKFz9,192.52,43,7,1,4,0.0126,0.265,0.885,0.938,0.0994,-4.088,0.063,0.517,110.358
May This Be Love,1Y6Dv0tWYUP3Za2Es9FUL2,190.226,53,8,1,4,0.218,0.539,0.609,0.111,0.115,-9.397,0.0622,0.488,95.347
I Don't Live Today,4oGRZ3J9o56fPaL96y2NEH,234.546,42,9,1,4,0.00444,0.349,0.921,0.875,0.0579,-4.826,0.12,0.424,111.317
The Wind Cries Mary,5H6Jp0syB5yEPk7SWYdlmk,200.733,64,5,1,4,0.348,0.499,0.495,0.0286,0.2,-10.508,0.0501,0.339,80.086
Fire,5LI7PoHEolR8plrf3I16sq,163.8,52,9,1,4,0.00206,0.479,0.944,0.0283,0.356,-5.167,0.115,0.572,153.45
Third Stone From The Sun,34jAhU99TNRvYwwOEoINl3,404.266,48,11,0,4,0.0209,0.307,0.756,0.758,0.353,-8.119,0.0493,0.417,114.843
Foxey Lady,23MrkN7g6Q5U7GLIxNHN1B,198.773,62,1,0,4,0.0751,0.507,0.847,0.237,0.372,-5.987,0.0411,0.566,98.096
Are You Experienced?,02POyqtbrdmYQ3RxsTrYMD,255.613,50,8,1,4,0.0277,0.403,0.763,0.00985,0.148,-6.727,0.118,0.455,82.812
Stone Free,2TKtQAy9VKwq3Kh234uE85,215.706,47,2,1,4,0.018,0.532,0.829,8.37e-05,0.229,-5.659,0.058,0.848,133.334
51st Anniversary,5lWeY2p6lpCK2bDZyy2nPd,195.786,40,11,0,4,0.145,0.436,0.811,0.0151,0.0678,-4.927,0.0458,0.304,134.092
Highway Chile,6r6ARqXEyXaoQjVZ1Mb1pV,212.586,42,5,0,4,0.269,0.432,0.938,0.000697,0.192,-3.716,0.139,0.637,138.522
Can You See Me,41j3QgPNvLSoWBucJuInCZ,152.973,39,6,0,4,0.226,0.572,0.811,0.0759,0.273,-5.494,0.0419,0.933,134.243
Remember,5jC8uR4L35LBJufeDmOmtk,168.72,40,1,1,4,0.0349,0.739,0.765,0.0407,0.118,-5.595,0.0445,0.701,99.157
Red House,3XxBSvDZKH5YvZZjTpn6eR,230.36,56,5,0,4,0.585,0.277,0.479,0.0224,0.16,-8.483,0.0495,0.483,53.905
