"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",2fDHuS1PTkHBbCWWZF1ph9,162.653,70,0,1,4,0.0652,0.621,0.524,0.00199,0.893,-15.269,0.0803,0.889,110.586
"Dark as the Dungeon - Live at Folsom State Prison, Folsom, CA - January 1968",0rE8nugfCMtsC3mzNukV8Z,187.706,50,3,1,3,0.861,0.498,0.281,3.85e-05,0.918,-17.128,0.192,0.377,111.784
"I Still Miss Someone - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",2dLzyrwHEEK8umYoOYaSPc,96.96,50,10,1,4,0.555,0.58,0.296,0.000472,0.468,-15.875,0.0343,0.582,96.155
"Cocaine Blues - Live at Folsom State Prison, Folsom, CA - January 1968",7xrODhgXFNVsRtKoyt5rJo,183.253,48,8,1,4,0.542,0.679,0.52,0.0,0.787,-13.562,0.235,0.834,121.411
"25 Minutes to Go - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",2EaCm5PYjpwuIvRo3ZfEFe,217.666,42,3,1,4,0.678,0.597,0.474,0.0,0.197,-15.004,0.331,0.73,119.554
"Orange Blossom Special - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",1qrtIWJwS62EVVv976tYXh,181.813,48,0,1,4,0.0663,0.647,0.663,0.0228,0.737,-13.974,0.0982,0.929,129.802
"The Long Black Veil - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",1MD5D5cFRKBAwbooPvifjN,239.32,40,9,1,4,0.928,0.392,0.211,0.000487,0.34,-21.066,0.544,0.429,86.304
"Send a Picture of Mother - Live at Folsom State Prison, Folsom, CA - January 1968",40kj6F2dst12FXtRW7mqOc,130.72,47,10,1,4,0.94,0.518,0.0847,0.0,0.639,-16.887,0.118,0.451,81.962
"The Wall - Live at Folsom State Prison, Folsom, CA - January 1968",28q8XYvQtuRtTnkZoKBTB1,114.746,47,8,1,4,0.917,0.552,0.207,0.0,0.505,-16.783,0.316,0.639,77.474
"Dirty Old Egg-Suckin' Dog - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",2DATiJtJ75vDhCL59LWhlI,76.946,38,3,1,3,0.883,0.511,0.245,0.0,0.703,-17.549,0.125,0.649,128.899
"Flushed from the Bathroom of Your Heart - Live at Folsom State Prison, Folsom, CA - January 1968",59n3HqfAMEpFFEAuBQQCOC,161.84,37,10,1,4,0.878,0.524,0.238,0.0,0.144,-16.382,0.333,0.678,123.58
"Jackson - Live at Folsom State Prison, Folsom, CA - January 1968",41HOgdemYjFSPffuBMdwzG,176.72,41,1,1,4,0.547,0.646,0.613,0.00238,0.602,-13.413,0.102,0.807,125.218
"Give My Love to Rose - Live at Folsom State Prison, Folsom, CA - January 1968",7D5WsIISgiaBTfgubAuU4Z,162.173,38,0,1,4,0.718,0.634,0.175,2.55e-05,0.668,-19.401,0.128,0.405,83.336
"I Got Stripes - Live at Folsom State Prison, Folsom, CA (2nd Show) - January 1968",0ry355UoTbc3NScBC2F3jA,105.573,41,5,0,4,0.394,0.525,0.459,0.0,0.523,-15.718,0.298,0.612,125.55
"Green, Green Grass of Home - Live at Folsom State Prison, Folsom, CA - January 1968",49NfiXJHlZoexjMjqWIPQQ,182.386,38,5,0,4,0.807,0.497,0.261,7.35e-05,0.311,-18.28,0.228,0.555,109.796
"Greystone Chapel - Live at Folsom State Prison, Folsom, CA - January 1968",529UhNRfvKmId4ZL7cvRDm,345.08,39,4,1,4,0.532,0.318,0.586,0.00356,0.209,-16.227,0.689,0.499,78.705
