Drive,3geRffSf6eAruhg23RkpKV,271.333,63,7,1,4,0.175,0.467,0.432,0.001,0.226,-11.753,0.0283,0.238,142.642
Try Not To Breathe,0bPg0OA0ep90qVCYfymwO6,230.573,50,7,1,3,0.0886,0.417,0.534,0.000943,0.0901,-9.517,0.0374,0.602,178.63
The Sidewinder Sleeps Tonite,7tLTov4Ax1pyGcaV4qWrP5,249.36,53,9,0,4,0.056,0.647,0.842,3.41e-06,0.32,-6.331,0.0308,0.777,123.376
Everybody Hurts,6PypGyiu0Y2lCDBN1XZEnP,320.266,75,2,1,3,0.615,0.467,0.324,0.0248,0.118,-10.451,0.0255,0.166,94.301
New Orleans Instrumental No. 1,7JGzUfmXJurpJabggwgtVP,135.666,45,0,1,1,0.98,0.309,0.11,0.862,0.0868,-21.111,0.0419,0.133,178.751
Sweetness Follows,0rhuzeJs3OHpPjvAsCB8rE,261.573,48,7,1,4,0.369,0.315,0.235,0.000843,0.1,-12.363,0.0337,0.115,76.632
Monty Got A Raw Deal,3nBOTBNCyICHIuWuZXaFSp,197.693,46,2,0,4,0.0986,0.687,0.643,9.62e-06,0.0988,-8.817,0.0272,0.344,118.502
Ignoreland,3d3ZNcICP3hdkovGj4YMqI,267.466,45,7,1,4,0.0194,0.61,0.85,0.00494,0.127,-6.809,0.0303,0.799,121.822
Star Me Kitten,1DT8eLo3WOJ2cCDfYWMU2G,196.2,44,0,1,5,0.128,0.175,0.335,0.845,0.162,-12.504,0.0341,0.212,175.838
Man On The Moon,4jLv3tDBu8ww2R07DvL12s,314.173,68,7,1,4,0.42,0.667,0.699,0.000442,0.201,-7.574,0.026,0.655,118.567
Nightswimming,6G0NzOx2jEPFsSmhr9N8Ys,258.066,64,7,1,4,0.796,0.566,0.385,7.63e-06,0.103,-11.272,0.0304,0.571,114.227
Find The River,1e3Q7gE5TRUklXOlZFKIrv,229.733,59,2,1,4,0.22,0.423,0.442,0.0,0.139,-9.499,0.0268,0.296,144.556
