Exp,11tIPf6hU1RF5Z3gm2o2rU,115.28,41,1,1,5,0.565,0.409,0.331,0.00199,0.0896,-15.47,0.219,0.198,56.048
Up From The Skies,4oarDDCWsSnX2WOIRKuQo1,177.866,45,10,0,4,0.603,0.659,0.635,0.0214,0.172,-10.569,0.202,0.413,144.965
Spanish Castle Magic,2KFE98Iw0X23sf4vJYcbLH,183.32,52,5,0,5,0.0504,0.405,0.831,0.0918,0.805,-5.293,0.0671,0.805,130.856
Wait Until Tomorrow,2YtVzmZzew1ILUdNueyWd7,182.546,47,8,1,4,0.203,0.643,0.697,0.00525,0.15,-7.192,0.0568,0.824,116.395
Ain't No Telling,1ToNKcpVRTxzAgRiywifMt,108.373,44,7,1,4,0.216,0.405,0.902,0.0633,0.468,-5.9,0.121,0.589,151.838
Little Wing,1Eolhana7nKHYpcYpdVcT5,145.746,71,6,1,4,0.181,0.515,0.534,0.00278,0.0547,-8.045,0.0768,0.426,70.776
If 6 Was 9,0J3CHAStO3pNGTnYnxKZod,334.52,54,8,1,3,0.00428,0.39,0.648,0.0531,0.689,-9.789,0.137,0.493,103.496
You Got Me Floatin',2Fu2CXFkfiKKXPGtbDDlvj,168.24,44,6,1,4,0.0414,0.477,0.883,0.0,0.239,-5.889,0.291,0.794,130.168
Castles Made of Sand,3qebSLgUwaEqbwCM5sj5Kh,168.92,62,11,0,4,0.504,0.461,0.714,0.0171,0.684,-9.159,0.313,0.454,94.372
She's So Fine,5r97cYQ6UtqKMWV3bUwHRU,158.546,42,1,1,4,0.00175,0.377,0.937,0.168,0.278,-4.889,0.0806,0.428,135.601
One Rainy Wish,5Zyv0v4rPcrXjkaeImuodv,221.826,53,8,1,4,0.294,0.316,0.756,0.429,0.351,-6.315,0.1,0.332,165.963
Little Miss Lover,4pvY1WQBeAgPGMnWglrWY4,141.453,43,1,1,4,0.0549,0.53,0.916,0.000302,0.3,-5.643,0.081,0.905,98.722
Bold as Love,0uco0wQkB909zpPlHvu5Cc,251.013,56,1,1,4,0.018,0.354,0.741,0.0134,0.0753,-6.389,0.0806,0.596,142.348
