Tutti-Frutti,131CVs8GtF3v5dXzfg5IVj,87.399,24,2,1,4,0.171,0.683,0.758,0.0907,0.0559,-8.054,0.0448,0.97,105.167
Tonight,3kwlt5Tgjiho0bJ3voGw38,152.322,24,2,1,3,0.402,0.552,0.959,0.00326,0.0858,-5.639,0.0427,0.747,112.594
Teenage Lust,57cUXRbZNpAIhXy6k93rAC,153.437,23,7,1,4,0.198,0.41,0.922,0.0,0.203,-3.834,0.0746,0.844,158.964
Let Me Try,7sGDZTIceiHFWSUh6smsHs,253.422,42,7,1,3,0.883,0.747,0.193,0.0004,0.181,-11.293,0.0432,0.256,123.847
Looking at You,50w6PJJmcNzmqlQwts40x1,180.697,41,2,1,4,0.226,0.451,0.802,1.85e-06,0.374,-5.568,0.048,0.89,92.216
High School,68gliAoTqB2ykfVh1N18PS,159.288,24,4,1,4,0.269,0.692,0.895,1.95e-05,0.229,-5.398,0.0789,0.919,160.554
Call Me Animal,4y6HM8sGfhSqU8qa6DdWOv,123.344,21,8,0,4,0.223,0.516,0.917,9.9e-06,0.0729,-6.39,0.251,0.541,146.548
The American Ruse,1DA8zKVVOdaZomJyRX1zjM,148.329,35,0,1,4,0.589,0.663,0.941,1.33e-05,0.181,-2.371,0.0465,0.913,86.829
Shakin' Street,3EqfPKnwgiBLUsEs6hY6ip,138.855,24,9,1,4,0.401,0.643,0.8,0.000219,0.191,-5.182,0.0514,0.853,77.826
The Human Being Lawnmower,6MiQrP9i19Jk9KyKU6kjL2,141.409,20,9,0,4,0.0651,0.326,0.8,0.000464,0.0758,-5.583,0.0572,0.467,162.871
Back in the USA,4Mb6F7s0Oa0VYSvIbiRBUO,145.403,23,4,1,4,0.55,0.673,0.89,0.0,0.065,-4.986,0.118,0.877,92.577
