Rehab,1L5tZi0izXsi5Kk5OJf4W0,213.76,69,0,1,4,0.0473,0.434,0.872,1.83e-06,0.396,-2.974,0.0702,0.732,71.515
You Know I'm No Good,4zQuwW24dweWcaX0fEJkP2,256.946,67,9,1,4,0.0132,0.705,0.806,0.00428,0.0701,-3.607,0.0309,0.734,103.383
Me & Mr Jones,5RqIM2vv5nw2PGJBqPD8Rg,151.573,60,4,1,4,0.537,0.59,0.803,0.0,0.105,-2.518,0.085,0.477,87.851
Just Friends,2i1S5Dq9SaFGcnw8mnb4ks,191.84,50,9,1,4,0.0346,0.754,0.806,0.0274,0.204,-4.767,0.0388,0.532,95.506
Back To Black,30FURVTCpbKyykjSEQzGkH,240.44,72,10,1,4,0.123,0.49,0.725,2.68e-05,0.0983,-3.304,0.0392,0.335,123.28
Love Is A Losing Game,570ZDO2Lmh6NQChOU5xPUL,154.16,61,0,1,4,0.317,0.48,0.561,0.00641,0.184,-5.874,0.027,0.541,164.791
Tears Dry On Their Own,6yLX8QnxlnEqZfs3YKCfjF,185.186,66,1,0,4,0.491,0.643,0.871,0.0,0.29,-2.734,0.118,0.452,121.569
Wake Up Alone,37A5PvtftHtsISQUDFNGUk,221.2,54,11,0,3,0.542,0.384,0.527,0.0,0.156,-5.294,0.0269,0.222,100.73
Some Unholy War,0RatRR1mlxEVR6WATH4jV3,141.266,53,9,0,4,0.0746,0.475,0.745,7e-05,0.122,-4.928,0.189,0.435,176.143
He Can Only Hold Her,0sSdFMuYrn3N9moumV466B,164.88,55,6,0,4,0.0262,0.651,0.835,0.00685,0.056,-4.311,0.0649,0.692,98.411
Addicted,7or26qS3BfpTtWO3BFw5GE,165.12,51,8,1,4,0.00144,0.786,0.846,0.0172,0.101,-3.752,0.0391,0.695,107.976
