introduction,7BsLJzWYhZln2QClCcwUVi,103.004,57,11,1,1,0.793,0.329,0.231,0.0,0.0592,-12.382,0.384,0.152,77.577
Ex Bitch,40KuvsFD0zpUFuCcmt5Xm0,121.671,74,7,1,4,0.513,0.835,0.462,0.0,0.0875,-6.227,0.155,0.702,78.99
UGLY,2QfkJ9lURgRpcFT2Y0B1e3,91.8,62,2,1,4,0.857,0.528,0.325,0.0145,0.114,-12.501,0.0293,0.0412,83.651
bad vibes forever,03eJ2DclFWXYU8GWgANdmZ,150.475,73,8,1,4,0.334,0.8,0.526,0.00174,0.0571,-5.153,0.0716,0.746,129.874
School Shooters,0DWrG09StYVhLbeNLwAJ5w,93.913,62,10,0,4,0.397,0.774,0.681,0.0,0.106,-5.313,0.283,0.55,138.149
I Changed Her Life,1SaxT2eggG2xalUM21tUSw,108.213,60,0,1,4,0.145,0.703,0.612,0.0,0.0938,-4.513,0.272,0.184,159.896
Triumph,3arQDLbkZnujJVfhoyEDlM,166.032,64,5,1,4,0.718,0.446,0.407,0.0,0.0732,-3.056,0.031,0.141,81.041
LIMBO,2hv3PVAj6KKDOVNhyRfjeG,194.608,61,4,0,4,0.147,0.549,0.532,1.34e-06,0.169,-6.234,0.0309,0.126,111.066
before i realize,4lLR14DyqhM5LBj6iHI0Al,94.786,57,11,1,1,0.806,0.715,0.28,0.0,0.0972,-7.528,0.0316,0.478,70.033
Ecstasy,4s7U2mS26ab7GFtgeUcwKA,240.068,60,3,1,4,0.509,0.606,0.36,9.55e-05,0.105,-7.231,0.184,0.0391,72.476
Kill My Vibe,3KJ7n1lICe3OZuuwZQlWDQ,128.039,60,2,1,4,0.545,0.88,0.798,3.29e-05,0.107,-4.536,0.236,0.692,150.023
Hot Gyal,2sssyogPeYk581LqeMZOQu,134.4,56,11,0,4,0.279,0.797,0.573,2.13e-06,0.16,-5.226,0.34,0.583,99.754
THE ONLY TIME I FEEL ALIVE,71hGntRHMOByPYua7WbnGG,163.591,55,4,0,4,0.408,0.711,0.352,3.66e-06,0.144,-8.599,0.327,0.0617,136.896
the interlude that never ends,6Q0KBExmZVG7KVoFA8CRag,148.759,56,7,0,4,0.831,0.597,0.232,0.0,0.0723,-9.411,0.0332,0.094,78.912
Daemons,4CuxcBpQnw3Itmp5VQoCHj,172.242,55,0,1,4,0.0345,0.753,0.763,8.1e-06,0.0631,-4.468,0.275,0.777,170.057
ATTENTION!,0RjJSBBEolCDJ6wDiuVCmh,120.055,70,0,1,4,0.608,0.954,0.41,1.76e-05,0.133,-7.725,0.157,0.457,130.074
Eat It Up,1WGRoqWrqDkXifw5JBayUi,105.21,55,7,1,4,0.309,0.918,0.546,0.0,0.19,-6.022,0.248,0.818,130.001
Voss,6crBVhm5d0JnAJhVHYkJTZ,107.061,55,7,1,4,0.215,0.786,0.496,0.0,0.104,-5.103,0.421,0.316,129.897
Royalty,5n9O3DqswW3Vm5b3Z07zcB,203.519,54,8,0,4,0.012,0.907,0.571,0.0183,0.0974,-5.345,0.227,0.612,124.973
wanna grow old (i won't let go),5RZt3aBokyH2EEqWBef7uS,131.214,61,4,0,4,0.835,0.74,0.199,2.05e-06,0.116,-8.575,0.0366,0.486,75.013
HEARTEATER,0MW5zwGXciXyVdFwQbvBq8,136.357,64,9,0,4,0.0563,0.78,0.527,0.000412,0.0437,-4.702,0.0296,0.588,99.986
NorthStar - Remix,7t27DLlJCOCt0Y3XTUGAbc,166.406,58,1,1,4,0.126,0.867,0.811,2.47e-06,0.0676,-5.437,0.112,0.829,149.967
CHASE / glass shards,62VGbS3xXFRGDBD8F2ZgPl,138.59,53,1,1,5,0.0145,0.544,0.352,0.00898,0.132,-8.603,0.319,0.248,85.686
numb the pain,4rhr8LgQoPtWkQaXVPSNOO,82.47,60,11,0,4,0.902,0.683,0.0759,0.0,0.089,-10.567,0.032,0.74,93.186
IT'S ALL FADING TO BLACK,0R6dvBlNevqkzioHLoygbI,151.683,60,7,1,4,0.106,0.646,0.546,0.00492,0.207,-6.9,0.0303,0.252,105.047
