Our Lips Are Sealed - Single Version,1GVnAD8Iz45rux6EC657Yv,167.96,59,8,1,4,0.0444,0.608,0.864,2.95e-06,0.0341,-7.101,0.0522,0.947,131.208
How Much More,4e2Qz3ezD5DdCABSTWVrSf,186.24,34,7,1,4,0.0794,0.383,0.947,1.99e-05,0.307,-4.925,0.0668,0.807,189.311
Tonite,6DaKFvFC18PLGrLtEYcnUY,215.066,31,4,0,4,0.375,0.554,0.903,0.000222,0.117,-5.951,0.0302,0.923,106.466
Lust To Love,1eyKBZ3cxTmYCpdzt6Gl5S,244.666,34,2,0,4,0.471,0.522,0.838,0.0,0.0552,-7.455,0.0687,0.514,159.195
This Town,59Fhvzw9T3dcxTbGzbNvg2,200.0,40,9,1,4,0.0661,0.394,0.776,5.57e-05,0.0786,-7.322,0.0413,0.676,158.575
We Got The Beat,5kz9GDBTX846OXwqWoyKzF,153.133,60,2,1,4,0.155,0.587,0.994,0.0734,0.0319,-5.61,0.045,0.481,151.941
Fading Fast,1hda6LrbHOWFfOxIqdViKT,219.826,35,0,1,4,0.601,0.584,0.865,0.0,0.189,-6.977,0.0362,0.91,146.456
Automatic,5Rhlm35D9l9cHoDm0ut9ph,188.813,27,9,0,4,0.258,0.633,0.656,0.123,0.0413,-8.812,0.0629,0.367,99.117
You Can't Walk In Your Sleep (If You Can't Sleep),6SdgqXjmU8dgEteCwIbQ65,174.4,25,6,0,4,0.117,0.705,0.912,1.02e-06,0.0749,-7.072,0.0328,0.938,99.888
Skidmarks On My Heart,2Oib0kKefrQgffwl3V0UcA,187.0,27,7,1,4,0.2,0.391,0.875,0.0,0.0415,-6.939,0.037,0.849,177.557
Can't Stop The World,0ZrRP1WKxaEX6TVAMttCuT,199.0,28,9,1,4,0.17,0.472,0.934,0.000116,0.0785,-5.585,0.0477,0.823,175.91
