Sympathy For The Devil - 50th Anniversary Edition,1Ud6moTC0KyXMq1Oxfien0,378.146,75,9,1,4,0.518,0.702,0.668,0.0,0.0588,-9.237,0.214,0.561,116.063
No Expectations - 50th Anniversary Edition,49ScE2M6RIqfeHnnP4v94B,237.0,45,9,1,4,0.536,0.302,0.275,0.00959,0.118,-12.281,0.0306,0.293,182.368
Dear Doctor - 50th Anniversary Edition,3oxqLl1TcDNYgAaAxct3jK,201.946,40,2,1,3,0.0953,0.604,0.453,1.61e-05,0.142,-8.273,0.0307,0.422,126.453
Parachute Woman - 50th Anniversary Edition,2t95lca5RT63G2J988AorQ,140.146,39,4,0,4,0.455,0.519,0.63,0.367,0.168,-7.518,0.0647,0.839,114.416
Jigsaw Puzzle - 50th Anniversary Edition,4FzDrD5KndBVrFaVwZToen,366.88,40,4,1,4,0.237,0.41,0.677,6.44e-06,0.0695,-8.984,0.0454,0.769,113.606
Street Fighting Man - 50th Anniversary Edition,7EXgO1bRnEArE58rtrgMWB,195.146,57,0,1,4,0.1,0.583,0.855,0.0177,0.262,-7.213,0.0333,0.69,128.178
Prodigal Son - 50th Anniversary Edition,294YjFlURvve9qm23KZCqP,171.946,40,1,0,4,0.435,0.627,0.597,0.00734,0.128,-9.095,0.0558,0.0938,108.286
Stray Cat Blues - 50th Anniversary Edition,0mynYmSfl8q2KhjSp96G3w,278.013,42,2,1,4,0.0031,0.349,0.831,0.00916,0.0882,-6.425,0.0514,0.428,104.747
Factory Girl - 50th Anniversary Edition,5DZPlkknHAi3JxcpMFlJ69,129.933,39,2,1,3,0.203,0.443,0.462,1.22e-06,0.142,-9.74,0.0351,0.447,177.096
Salt Of The Earth - 50th Anniversary Edition,5FTPD9wSP9IjYBeivNE7cU,289.533,40,4,1,4,0.155,0.389,0.777,2.62e-06,0.141,-6.534,0.0404,0.365,96.902
