Let's Spend The Night Together,1QLr0zOu6fv5hLEHOwdr21,215.92,50,7,1,4,0.705,0.562,0.793,0.0,0.222,-7.774,0.0526,0.57,140.838
Yesterday's Papers,1cQsHFYDGWuNSK18fo6hcM,123.266,30,0,1,4,0.14,0.595,0.576,0.0,0.192,-8.103,0.029,0.238,139.885
Ruby Tuesday,4hupcimlg3UBbW1kAQ6vrT,196.493,63,0,1,4,0.831,0.524,0.553,0.0,0.174,-10.767,0.0292,0.517,104.578
Connection,2LBI6nQa32PRfRoH4Lrkod,127.76,33,0,1,4,0.16,0.663,0.689,4.71e-05,0.334,-11.904,0.0499,0.556,86.588
She Smiled Sweetly,3Xf6K3mJRPBKvZzOC5mzv0,164.826,30,0,1,3,0.0906,0.338,0.303,0.00441,0.122,-12.023,0.128,0.223,191.321
"Cool, Calm And Collected",2AeHOLJAweW35H4faobI5G,255.12,30,10,1,4,0.342,0.62,0.853,0.0391,0.175,-6.636,0.0527,0.721,107.969
All Sold Out,2HnCLW9FtptCdIDItg5Nl1,137.666,27,0,1,4,0.44,0.692,0.681,1.33e-05,0.0978,-9.265,0.0348,0.84,117.518
My Obsession,5VqEIp9rGKFYiCRDKmkSbI,196.826,28,4,1,4,0.216,0.648,0.821,1.38e-06,0.0712,-8.978,0.116,0.611,144.092
Who's Been Sleeping Here?,5SAXn4DBU86CLSmxhpIYAH,235.333,28,5,1,4,0.184,0.549,0.614,2.2e-06,0.118,-7.965,0.0329,0.691,115.74
Complicated,734x5ht4Zj14BnGhynfXL4,194.96,28,1,0,4,0.146,0.632,0.677,0.000105,0.115,-12.32,0.0373,0.816,146.023
Miss Amanda Jones,0vFv1Azdy8mpDmu6fLw2Fj,166.88,31,10,1,4,0.175,0.431,0.831,0.0,0.159,-10.805,0.062,0.791,78.891
Something Happened To Me Yesterday,0CxcNZFoAULGLih1zDG1o2,295.053,28,7,1,4,0.776,0.632,0.529,0.0,0.405,-9.39,0.108,0.568,144.267
