Todo Carnaval Tem Seu Fim,7KUjWJJiYjasHOlNdnYd55,264.026,46,1,1,4,0.0592,0.557,0.489,0.0132,0.149,-10.156,0.0375,0.178,105.766
A Flor,14IzkK3IZfcIMWnriKclKo,207.04,46,8,0,4,0.0849,0.54,0.71,0.00426,0.0578,-9.179,0.0325,0.403,134.715
Retrato Pra Iaia,1aZCM7CEdgKkGHGJrzwIR7,237.266,45,5,0,4,0.0395,0.519,0.43,0.0,0.044,-8.689,0.053,0.697,128.537
Assim Será,5pCOMZ1jo9JIqXno3qdoum,216.16,35,8,1,3,0.0526,0.724,0.457,0.0839,0.0944,-10.783,0.136,0.595,88.419
Casa Pré-Fabricada,48aum3DqFk35mK59Ji9h5z,175.44,41,8,1,3,0.00411,0.314,0.477,0.000334,0.118,-7.523,0.037,0.441,159.001
Cadê Teu Suin?,4NDwuJemK7y0mo9JB4PRzB,155.76,34,8,0,4,0.431,0.655,0.377,0.000377,0.0567,-8.018,0.0527,0.667,144.797
Sentimental,6Zv4HVHfadVo3JQSSbwY7r,309.266,58,6,1,4,0.124,0.646,0.384,0.0119,0.112,-10.214,0.0287,0.24,128.009
Cher Antoine,28yKJf5LNOIOTASMThamtG,149.173,32,4,0,4,0.107,0.533,0.618,0.0408,0.103,-10.633,0.0407,0.415,146.945
Deixa Estar,79DbsnxIgDIP6lnlATussn,210.826,35,11,1,4,0.0911,0.669,0.706,0.000288,0.0861,-7.564,0.0865,0.558,151.086
Mais uma Canção,1Uv4qTg9C1lqv6WpdOkz7E,251.533,35,8,1,3,0.675,0.668,0.271,0.173,0.0857,-10.708,0.0743,0.974,175.296
Fingi na Hora Rir,73xBtPtkDL33I1JT36SrnY,250.8,40,10,0,4,0.0203,0.525,0.543,0.00174,0.0727,-8.417,0.034,0.112,142.541
Veja Bem Meu Bem,1bCxd4XhDcJJsEqVfmMa4o,280.306,44,8,1,4,0.158,0.544,0.277,0.0102,0.105,-12.809,0.0465,0.371,128.473
Tão Sozinho,11WkaBWR1JPTs4ktJkQjXF,78.933,29,8,1,4,7.31e-06,0.453,0.947,2.93e-05,0.351,-5.258,0.0804,0.497,100.776
Adeus Você,7KF2jnp3QIwcl7QJP5i5nW,178.893,41,10,0,4,0.54,0.769,0.324,4.13e-05,0.104,-10.911,0.0372,0.508,104.521
