Rainy Day Women #12 & 35,7BkAlVpGwXXl3sYNn5OoJ7,274.066,49,5,1,4,0.458,0.556,0.592,0.0,0.0637,-7.378,0.0338,0.587,94.889
Pledging My Time,2qTvEdNY21mL9whUJot9Oc,227.866,39,2,1,3,0.686,0.493,0.646,0.000153,0.372,-7.702,0.0432,0.693,104.39
Visions of Johanna,2rslQV48gNv3r9pPrQFPW1,451.133,50,9,1,4,0.32,0.59,0.483,0.0,0.0625,-10.424,0.0339,0.653,93.427
One of Us Must Know (Sooner or Later),40GFPBolcy0yucApV9uxq2,292.44,44,5,1,4,0.547,0.431,0.626,6.06e-05,0.364,-9.46,0.0319,0.762,96.494
I Want You,7tJQ4Ekp2vN3NlI3vJJW3v,185.2,60,5,1,4,0.36,0.508,0.68,0.0,0.0824,-8.354,0.0373,0.792,99.905
Stuck Inside of Mobile with the Memphis Blues Again,1NYTj6JEw3IOh4ggiBh82h,423.666,46,9,1,4,0.301,0.465,0.747,0.0,0.12,-9.882,0.0473,0.628,135.526
Leopard-Skin Pill-Box Hat,6aeOSY6fPsvGTzyXi65pNY,236.333,41,2,1,4,0.304,0.572,0.593,1.14e-06,0.106,-8.639,0.0321,0.968,97.475
Just Like a Woman,37Dl7jQMmt0gUnzTKqnjkN,290.466,52,4,1,4,0.773,0.564,0.441,0.0,0.351,-9.902,0.0437,0.469,115.174
Most Likely You Go Your Way (And I'll Go Mine),2SbnSPLltgmScvZVI0OcRF,207.293,39,7,1,4,0.584,0.598,0.885,0.0,0.348,-6.904,0.035,0.96,111.891
Temporary Like Achilles,1HgFg4pCJO1tX1uh5NMALx,300.306,38,7,1,3,0.244,0.367,0.392,0.0,0.105,-9.745,0.0318,0.431,121.611
Absolutely Sweet Marie,08TyPDbQ14NOoOWh13WJ2Z,294.2,39,2,1,4,0.223,0.566,0.738,0.0,0.111,-7.526,0.03,0.806,133.859
Fourth Time Around,4i4oDSWluhViEzuYIZYtmJ,272.6,41,4,1,3,0.0787,0.366,0.508,3.98e-05,0.15,-12.103,0.0319,0.622,155.751
Obviously Five Believers,74z9AsqO74WCnX3BlvbGAL,213.026,37,2,1,4,0.296,0.351,0.856,3.75e-06,0.068,-7.132,0.064,0.705,189.853
Sad-Eyed Lady of the Lowlands,4jdtLLyEL7wY0TlCdMKhxq,679.106,45,2,1,3,0.604,0.3,0.384,0.0,0.0799,-10.742,0.0323,0.275,171.828
