The Power of Equality,0eX5QY6o5cb9W72zVmWWjV,243.533,52,1,1,4,0.00277,0.603,0.877,0.0604,0.171,-12.828,0.0474,0.881,102.673
If You Have to Ask,2R6go62CuxqqX0w1TgXxes,216.693,57,7,1,4,0.00236,0.709,0.738,0.795,0.073,-12.019,0.048,0.671,96.24
Breaking the Girl,0cG9ocYqYOIVtgiWTmTe3g,295.373,63,8,0,3,0.0233,0.348,0.686,0.00256,0.145,-12.748,0.0319,0.635,178.466
Funky Monks,68uWKoPwSxYE6DVylRA1XI,323.333,52,0,1,4,0.00168,0.567,0.659,0.00158,0.0513,-10.635,0.0499,0.61,90.519
Suck My Kiss,0psB5QzGb4653K0uaPgEyh,217.133,64,0,1,4,0.000617,0.623,0.936,9.86e-05,0.269,-9.955,0.0528,0.705,101.514
I Could Have Lied,0NSbiBKXoODbsPwjSivfBr,244.4,61,7,1,4,0.0132,0.56,0.209,0.551,0.342,-13.591,0.039,0.407,140.744
Mellowship Slinky in B Major,5TYQonY07iJP2ULhR4ptce,239.96,50,6,0,4,0.00295,0.652,0.809,0.00928,0.352,-11.623,0.0762,0.773,91.919
The Righteous & the Wicked,5ITOTuCOy6y4PB55CSZADE,248.0,48,6,0,4,0.00184,0.409,0.726,3.17e-05,0.124,-10.601,0.0563,0.715,166.394
Give It Away,0uppYCG86ajpV2hSR3dJJ0,282.906,73,7,1,4,0.00244,0.666,0.936,0.086,0.153,-9.919,0.0476,0.776,91.577
Blood Sugar Sex Magik,4ddA4oHvhrGx196qF5ZyQe,271.16,53,9,0,4,0.000282,0.63,0.794,0.429,0.298,-10.2,0.0921,0.836,146.574
Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,264.306,81,4,1,4,0.0576,0.559,0.345,0.000105,0.141,-13.496,0.0459,0.458,84.581
Naked in the Rain,6xid2NOIS1aqviPPe67OqF,265.56,48,5,0,4,1.36e-05,0.588,0.897,0.039,0.101,-10.838,0.0429,0.841,116.213
Apache Rose Peacock,3p3BfV7NeWCAHx9tSwsJEQ,282.133,48,9,1,4,0.00308,0.712,0.723,5.91e-06,0.0664,-10.141,0.0578,0.857,91.88
The Greeting Song,5HYKskVhty99c7Txyydwmp,193.506,46,2,1,4,0.00218,0.459,0.962,0.0503,0.188,-10.653,0.0485,0.307,134.139
My Lovely Man,402sXCQikR6VV2x2265Jsm,279.066,47,11,0,4,9.09e-05,0.602,0.75,0.00148,0.28,-10.877,0.0483,0.738,113.917
Sir Psycho Sexy,1J5ZXurCRQdFHWfOiFt12x,496.626,50,4,1,4,0.00141,0.581,0.7,0.00404,0.267,-10.664,0.0595,0.521,154.98
They're Red Hot,1jQ0EZPAY3HpBRgUev6X1Q,71.84,43,7,1,4,0.00553,0.562,0.995,0.000223,0.136,-12.704,0.159,0.0392,152.108
Little Miss Lover - 2006 Remaster,1CNDe1BS7dKfUsYb5vm5rO,158.55,42,1,1,4,0.000271,0.585,0.98,2.49e-05,0.0273,-2.79,0.12,0.47,94.775
Castles Made of Sand - 2006 Remaster,7mUNyl16vX2OrKqMAuZJF9,198.689,47,11,1,4,0.141,0.543,0.582,0.000224,0.0929,-8.055,0.058,0.6,150.459
