Tangled up in Blue,6Vcwr9tb3ZLO63F8DL8cqu,341.626,66,9,1,4,0.414,0.421,0.661,1.16e-06,0.0962,-13.126,0.0433,0.554,100.965
Simple Twist of Fate,3wAX3qn53iQUFE84hpfeen,256.8,56,4,1,4,0.665,0.409,0.264,0.00016,0.102,-16.273,0.0363,0.355,137.16
You're a Big Girl Now,4ukHl5HFRNARRnIWc4Oj83,272.2,46,7,1,4,0.795,0.597,0.308,4.03e-05,0.0469,-16.527,0.0452,0.413,75.414
Idiot Wind,1nbGN4N63uCQq0pCIs3kIf,467.493,46,7,1,4,0.354,0.431,0.543,8.98e-05,0.106,-12.507,0.0488,0.619,157.384
You're Gonna Make Me Lonesome When You Go,64MISVB9IIchhOKmWHftoz,174.733,46,9,1,4,0.512,0.437,0.381,0.000104,0.0984,-15.016,0.0433,0.698,109.74
Meet Me in the Morning,53ygARQf1f30Z0EmXPHWGT,258.973,49,9,1,4,0.0809,0.555,0.467,0.000983,0.0707,-14.698,0.0443,0.591,145.268
"Lily, Rosemary and the Jack of Hearts",4MKun9QQhoapVvhp2uxJif,531.16,44,2,1,4,0.414,0.457,0.665,0.0,0.0948,-13.722,0.0821,0.667,126.33
"If You See Her, Say Hello",3xNO6JUk9ySYjxuqzcZYRB,288.0,51,2,1,4,0.768,0.383,0.224,0.0,0.087,-16.99,0.0274,0.466,102.94
Shelter from the Storm,3y4Uza6K58JXQ7RYya8ZI5,301.133,63,4,1,4,0.413,0.486,0.241,3.51e-05,0.0928,-17.337,0.0366,0.614,106.574
Buckets of Rain,5eVjE8FDSDXQLSbTZSA5Qv,203.506,51,4,1,4,0.539,0.514,0.234,0.00254,0.109,-18.245,0.0328,0.454,173.644
