Born in the U.S.A.,0dOg1ySSI7NkpAe89Zo0b9,278.68,75,4,1,4,0.000373,0.398,0.952,7.75e-05,0.1,-6.042,0.061,0.584,122.093
Cover Me,4U7NhC2rQTAhH7dw7H0goB,205.986,56,9,0,4,0.00188,0.535,0.884,0.00126,0.14,-5.499,0.0407,0.796,120.555
Darlington County,3O5RCjnjWlF0CYkcvJaGVm,288.026,49,7,1,4,0.0141,0.536,0.982,3.67e-05,0.274,-4.674,0.0389,0.963,119.201
Working on the Highway,1n16ZEz2uuWO1Dx01dVWua,192.266,50,0,1,4,0.0842,0.429,0.949,0.0,0.154,-5.295,0.0458,0.967,184.286
Downbound Train,4a0oZYU2ntSUof4lkm2PCl,215.426,53,10,1,4,0.0585,0.544,0.762,0.0,0.074,-7.289,0.0382,0.473,120.023
I'm On Fire,3PzsbWSQdLCKDLxn7YZfkM,155.88,75,1,0,4,0.589,0.62,0.446,0.0299,0.0727,-14.451,0.0347,0.868,88.591
No Surrender,2zMlWt4aYreVczVERFK94w,240.146,54,5,1,4,0.00382,0.351,0.947,1.81e-06,0.559,-4.965,0.0503,0.859,153.762
Bobby Jean,2KPzDsCtQtIM0Lkh3RacRC,226.72,50,9,1,4,0.000265,0.521,0.949,2.62e-05,0.171,-5.279,0.0326,0.956,133.393
I'm Goin' Down,0VkDedVtP7TQDlaCMq9QVx,209.04,56,5,1,4,0.117,0.579,0.948,1.19e-06,0.121,-5.908,0.0535,0.811,132.812
Glory Days,2Y90nL1ohB4sgYELDs7uNx,254.733,69,9,1,4,0.0457,0.574,0.96,0.0,0.121,-4.906,0.032,0.978,117.486
Dancing In the Dark,7FwBtcecmlpc1sLySPXeGE,241.306,78,1,0,4,0.0115,0.527,0.942,0.0,0.188,-5.64,0.0366,0.495,148.723
My Hometown,6dahFmHrgncgVJjsI1ws7e,279.666,62,9,1,4,0.486,0.652,0.338,5.9e-05,0.0744,-11.58,0.0367,0.392,116.881
