Subterranean Homesick Blues,6k9DUKMJpWvu6eFG3O64Lg,141.293,58,4,0,4,0.702,0.576,0.727,0.0,0.324,-9.973,0.05,0.751,173.854
She Belongs to Me,2itBkHBUxGl4VfDj4HNyoD,166.706,44,9,1,4,0.699,0.729,0.382,0.0,0.152,-14.07,0.0367,0.637,112.179
Maggie's Farm,5rGD8FFgHw74cp3RPhucyg,234.626,48,7,1,4,0.481,0.415,0.72,0.0,0.185,-11.177,0.0492,0.619,176.785
Love Minus Zero,2FDTgrYDUdQKyGmtynEk90,171.106,43,4,1,4,0.571,0.702,0.56,0.0,0.109,-12.323,0.0342,0.889,125.452
Outlaw Blues,0QWvnpH7daskoXwKa59xGT,184.266,38,9,1,4,0.724,0.655,0.71,6.76e-06,0.13,-10.877,0.0281,0.886,89.658
On the Road Again,1kvqv4axiWkxOdRz017sQZ,155.426,37,9,1,4,0.57,0.77,0.646,0.0,0.137,-10.723,0.0684,0.783,118.771
Bob Dylan's 115th Dream,5ka7NFOlZUpVLJmA2tO0o4,389.8,39,7,1,4,0.565,0.666,0.617,0.0,0.0498,-10.851,0.0628,0.764,105.648
Mr. Tambourine Man,3RkQ3UwOyPqpIiIvGVewuU,330.533,65,5,1,4,0.794,0.39,0.31,0.0,0.379,-14.545,0.0676,0.584,177.515
Gates of Eden,3K10pmwoFZt5N6ESWvDQkv,340.04,37,7,1,3,0.527,0.44,0.213,0.0,0.103,-14.978,0.0504,0.433,181.322
"It's Alright, Ma (I'm Only Bleeding)",5Oer8yskMaCGXwGSfM7xr9,449.093,50,4,1,4,0.597,0.681,0.257,0.0,0.161,-15.348,0.0695,0.566,115.867
"It's All over Now, Baby Blue",4EgKcG7aswxVfQEqa3dl8S,252.066,53,4,1,4,0.655,0.699,0.197,0.0,0.0716,-14.792,0.0383,0.361,122.871
