Tropicália - Remastered 2006,4cMbAhrwsZsAHceaGvZy9y,222.106,49,8,1,4,0.191,0.51,0.696,0.0,0.0973,-6.128,0.0748,0.384,96.872
Clarice - Remastered 2006,3bxBoOY0ykwzqtJS1fy0bs,330.226,31,1,0,4,0.0162,0.383,0.322,0.000573,0.164,-13.175,0.0356,0.287,106.009
No Dia Que Eu Vim-Me Embora - Remastered 2006,3YzN4jzCf40pRbQ8EuWAoo,147.373,26,4,0,3,0.21,0.371,0.491,0.000915,0.484,-8.562,0.0389,0.399,118.36
"Alegria, Alegria - Remastered 2006",0aoQV1TuaTrcpJaMfJ3wgj,168.213,50,6,1,4,0.667,0.198,0.432,2.36e-05,0.683,-10.072,0.0333,0.736,202.401
Onde Andaras - Remastered 2006,0m2sQPwTOz33CjBpxq7nPy,114.92,26,9,1,4,0.72,0.413,0.388,0.000121,0.152,-13.517,0.0313,0.582,131.513
Anunciação - Remastered 2006,1pMDQi822J0Ye7htQFa1h1,120.306,24,9,1,4,0.438,0.423,0.723,0.0,0.368,-8.441,0.143,0.563,98.816
Superbacana - Remastered 2006,387VJYkxRuubOM2X86abUq,87.213,34,9,1,4,0.129,0.555,0.659,0.0,0.0854,-5.41,0.0461,0.927,138.878
Paisagem Util - Remastered 2006,61sTdAekfZwZOeNNJOnF1N,157.48,23,8,1,4,0.481,0.359,0.372,0.0755,0.217,-11.631,0.0285,0.454,90.742
Clara - Remastered 2006,7io3OjJA0cdLVrHvvtAOIp,103.32,22,2,1,4,0.375,0.538,0.606,0.0,0.372,-11.192,0.0553,0.752,94.899
Soy Loco Por Ti America - Remastered 2006,5zitPHwFth0QZji0s7Q9uP,223.866,36,2,1,4,0.138,0.65,0.582,0.0,0.0621,-6.22,0.207,0.684,95.542
Ave-Maria - Remastered 2006,4t6uKU2glw8UQ1PnFwcqVB,139.213,22,7,1,4,0.732,0.47,0.307,0.000157,0.5,-12.162,0.0369,0.565,141.848
Eles - Remastered 2006,6SZsceB7m0T9MLPxXi2mLQ,281.84,24,0,0,4,0.0575,0.547,0.555,0.000593,0.255,-7.848,0.111,0.67,86.648
