Around the World,0aGQHMr7bc23Y9Ts84ffop,238.733,67,0,1,4,0.00417,0.504,0.96,0.569,0.0613,-1.464,0.183,0.774,96.682
Parallel Universe,1Se0r96r0gnqg67kJPmESc,269.36,64,0,0,4,0.00107,0.343,0.983,0.296,0.0708,-2.359,0.212,0.186,124.536
Scar Tissue,1G391cbiT3v3Cywg8T7DM1,215.906,77,0,1,4,0.0779,0.595,0.717,0.00274,0.108,-4.803,0.0295,0.547,88.969
Otherside,64BbK9SFKH2jk86U3dGj2P,255.373,79,0,1,4,0.00316,0.458,0.795,0.000202,0.0756,-3.265,0.0574,0.513,123.229
Get on Top,0GcWf1Cc4ixN35D3O9VdcP,198.066,52,4,0,4,0.0281,0.573,0.994,0.00543,0.367,-0.407,0.342,0.416,114.563
Californication,48UPSzbZjgc449aqz8bxox,329.733,81,9,0,4,0.0021,0.592,0.767,0.00165,0.127,-2.788,0.027,0.328,96.483
Easily,3QJnjJH53Ocg22MaLutrgJ,231.333,54,0,1,4,0.000204,0.283,0.982,0.0756,0.0627,-0.32,0.0703,0.438,124.149
Porcelain,6WUjz18yIeTGDR1E69WHtf,163.706,54,7,1,3,0.443,0.371,0.259,0.00384,0.0752,-11.352,0.0312,0.0467,140.425
Emit Remmus,2xDHUsWEsH33sKbFqDZPFj,240.2,50,5,0,4,5.08e-05,0.354,0.964,0.203,0.326,-1.822,0.0973,0.526,113.079
I Like Dirt,2bo1tTjK87OHKKUDFthqHx,157.626,49,4,0,4,0.0113,0.712,0.969,0.0319,0.0904,-1.503,0.161,0.802,105.077
This Velvet Glove,49colNVoLFcMszng9O8w4h,225.2,52,2,0,4,0.0706,0.607,0.953,2.94e-05,0.213,-1.744,0.0471,0.315,118.885
Savior,0O8RjwNco465s5o9Ix9IYj,292.4,49,0,1,4,0.00124,0.241,0.824,5.83e-06,0.0955,-2.785,0.0479,0.2,83.663
Purple Stain,0tGkxA0oybkQ3iR6LLXPjZ,253.373,50,9,1,4,0.0157,0.554,0.875,0.00422,0.0852,-1.372,0.104,0.821,100.988
Right on Time,66wnTJJ7Vo0GW02CMP3etR,112.533,48,1,0,4,0.0108,0.442,0.995,0.0,0.33,-1.674,0.126,0.639,127.02
Road Trippin',1XxCiPw07rd1ytYnE7SoJI,204.973,62,4,0,4,0.309,0.243,0.47,0.000798,0.121,-8.194,0.0353,0.393,204.026
Fat Dance - 2006 Remaster,3BW34zpQNgRUwuQ4eUyzMN,220.499,46,4,0,4,0.0503,0.662,0.954,0.617,0.0771,-3.84,0.0611,0.767,101.18
Over Funk - 2006 Remaster,0809RpHic1xrZzh9CT4wXo,178.36,47,6,0,4,0.00719,0.628,0.918,0.452,0.0353,-3.431,0.0326,0.735,99.057
Quixoticelixer - 2006 Remaster,28w7CPWQCqQxt0YCzDN75b,288.226,51,6,0,4,0.016,0.535,0.831,0.000312,0.0676,-4.869,0.069,0.834,110.731
