Do It Again,2BstRQGodshjGpeDGQiNgo,356.733,70,2,0,4,0.218,0.682,0.537,3.07e-05,0.0556,-10.254,0.0323,0.963,124.574
Dirty Work,0s1aSsYlLIEiy16LjFWbdp,187.4,67,1,1,4,0.795,0.631,0.354,0.000107,0.0879,-11.112,0.0313,0.522,73.007
Kings,6V4vufRraefNq5DYDjICRS,225.973,48,9,0,4,0.481,0.614,0.63,2.27e-05,0.138,-10.497,0.0475,0.666,75.742
Midnite Cruiser,3Hp7HkYTFxzMrTJdPXQJI6,246.6,48,1,1,4,0.277,0.641,0.643,0.0,0.0449,-10.273,0.0284,0.72,99.188
Only A Fool Would Say That,6eT2fNwiVD04D3R4uP5qOv,176.266,54,0,1,4,0.712,0.803,0.531,0.0,0.197,-11.967,0.0348,0.965,130.05
Reelin' In The Years,1I7zHEdDx8Ny5RxzYPqsU2,275.466,72,2,1,4,0.133,0.523,0.758,0.0,0.0952,-9.81,0.0403,0.766,135.437
Fire In The Hole,4usVYcPlxRgRet6YashdCJ,206.226,51,3,1,4,0.528,0.619,0.438,0.000869,0.0623,-13.139,0.0359,0.541,73.122
Brooklyn (Owes The Charmer Under Me),5w6AGoRTmtlLK89lhrupBR,259.333,44,5,1,4,0.534,0.633,0.475,6.79e-05,0.159,-11.447,0.0238,0.643,105.442
Change Of The Guard,4nXetPzsp0cG4HAgBW7dXW,218.466,44,1,1,4,0.222,0.705,0.667,0.000126,0.0654,-10.566,0.028,0.746,118.606
Turn That Heartbeat Over Again,0Ka6cMllwgn7TwUyT0La0R,298.493,42,1,1,4,0.242,0.632,0.488,0.000245,0.057,-11.768,0.0419,0.621,116.534
