Chega de Saudade,7IwSi2ZzKlapUwGlksNezY,299.333,3,9,1,4,0.877,0.433,0.238,0.000432,0.144,-13.716,0.032,0.158,146.151
As Praias Desertas,5Gd6ePpUXQhKQP1ZIPsG4o,257.693,2,5,0,4,0.709,0.38,0.183,0.000458,0.122,-14.682,0.0331,0.14,150.757
Eu Não Existo Sem Você,5fVbKCZNhB6xVHPnnfiI5u,247.573,6,7,0,4,0.892,0.458,0.0923,0.000315,0.132,-16.631,0.0354,0.129,132.605
Serenata do Adeus,7kVnWdp4kSWDFFRwCpSzkV,209.76,3,2,0,4,0.947,0.388,0.0735,0.000302,0.111,-16.538,0.0517,0.0624,58.304
Caminho de Pedra,3IH8LQvHSdl3ewUJFYMea7,184.373,1,1,0,4,0.778,0.33,0.186,0.00143,0.182,-15.836,0.0308,0.0678,176.097
Medo de Amar,0F7R1Sy44mzVgYLghraQwO,271.666,2,0,1,4,0.962,0.521,0.119,0.00229,0.0926,-16.114,0.039,0.0721,132.02
Luciana,3227SHZ37byW4bVgDrIqLn,241.866,2,11,1,3,0.83,0.375,0.189,0.415,0.123,-15.562,0.0298,0.177,173.983
Estrada Branca,61zjWsCgQYuwtbC7DrdX0J,189.16,2,0,1,4,0.953,0.474,0.0835,2.09e-06,0.11,-15.034,0.0492,0.111,71.383
Modinha,1z99Gt942tvDaOPGTUNISE,129.773,1,8,1,4,0.985,0.38,0.0447,3.28e-06,0.297,-18.591,0.0433,0.199,89.273
Janelas Abertas,6Ryvtwt12Zkolrk2YHajw3,235.2,1,2,0,4,0.614,0.697,0.271,4.61e-05,0.126,-15.408,0.0375,0.353,118.771
Outra Vez,2NBG5rfcRhWeCt9HRfSeH1,233.733,2,0,1,4,0.821,0.747,0.337,0.00108,0.0946,-14.143,0.0402,0.309,90.134
Vida Bela (Praia Branca),7zd1Csh4I6kUX8iHe1NAxH,191.8,1,0,0,4,0.689,0.786,0.451,0.224,0.144,-15.007,0.0399,0.961,99.338
Canção do Amor Demais,1RY76zZjUUqK7Vxxg5WupG,203.653,2,8,1,3,0.933,0.511,0.0714,6e-06,0.109,-16.206,0.0497,0.124,111.214
