Alice Williams,3moo5RJ7WH9HZp4Kt5WrE5,282.733,14,1,0,4,0.552,0.46,0.86,0.00648,0.0943,-5.152,0.0643,0.757,87.349
"Édipo, O Homem Que Virou Veículo",7HcLrpdlojc1aBHApGPqWc,208.866,14,6,1,4,0.266,0.764,0.765,0.0,0.379,-6.536,0.0557,0.926,88.986
Bolo de Ameixa,6kPVGfF5URkRXWJK8vsztv,235.4,17,5,1,4,0.00909,0.581,0.93,8.61e-05,0.362,-6.251,0.0529,0.975,161.946
A Expressão Exata,1WBXjwWrcqAsWekwZWUjnu,395.106,12,9,1,4,0.0196,0.735,0.483,1.39e-06,0.362,-8.67,0.167,0.584,72.179
Carnaval Na Obra,5LJcePRkIDahfkTI22WnKG,153.16,9,5,1,4,0.244,0.567,0.94,1.11e-05,0.194,-8.522,0.118,0.501,109.954
Quem Tem Bit Tem Tudo,1FN7QNvpbJBjleZByfhqQJ,276.906,7,9,1,4,0.00427,0.751,0.66,0.0132,0.0519,-6.202,0.0437,0.502,104.209
Meu Quinto Elemento,7vtxWh5BAnM2D7F32GAFeu,216.16,6,11,0,4,0.0612,0.472,0.727,0.000955,0.0966,-7.093,0.0523,0.225,114.682
Quarta Parede,22JJUM6nan8MvNhTShRR1v,360.346,7,1,0,4,0.0404,0.713,0.528,0.2,0.0652,-8.286,0.0869,0.536,128.41
Ultrapassado,6posezERpOeKosGrEERDMj,274.733,10,5,0,4,0.594,0.663,0.778,0.0,0.586,-7.323,0.299,0.434,74.228
O Africano e o Ariano,6HOFHqv5lWV1GH07r6iQix,460.173,5,9,1,4,0.455,0.732,0.668,3.38e-05,0.205,-8.742,0.0467,0.806,150.914
Negócio do Brasil,332cvo6s64xR8Y6b5uKOW1,320.026,4,2,1,3,0.0513,0.413,0.697,0.237,0.104,-6.538,0.033,0.66,73.354
Maroca,2HE16bz4EgU6dH0g423emp,305.333,12,6,0,4,0.0439,0.654,0.689,0.0336,0.571,-8.388,0.0317,0.617,147.829
Novos Eldorados,5iRKygOSjNqn6OFduGlJFn,388.72,4,11,0,4,0.0123,0.618,0.895,0.00156,0.248,-5.672,0.0377,0.311,117.262
Compromisso de Morte,57dy5umofyu8U1q45oNv72,301.133,6,4,1,4,1.16e-05,0.446,0.901,0.118,0.16,-5.551,0.0378,0.304,122.738
