Combination of the Two,6xxR2WCzYgE9ri0PXX5pV3,347.36,41,9,1,4,0.0134,0.37,0.918,0.0434,0.607,-10.685,0.187,0.362,152.79
I Need a Man to Love,5Z27tZEeC8WBiQvoDpx1Sw,293.04,45,4,0,4,0.074,0.314,0.69,1.76e-05,0.195,-10.871,0.0755,0.688,182.933
Summertime,3eYCJXTViFwl5mdtcTsF4G,238.4,59,5,1,3,0.0936,0.295,0.296,0.000213,0.128,-13.94,0.0291,0.384,180.756
Piece of My Heart,1xKQbqQtQWrtQS47fUJBtl,253.333,69,4,1,4,0.263,0.443,0.727,0.000141,0.169,-7.951,0.145,0.566,160.82
Turtle Blues,1CdEksXQ6gvdr4blQjQdTZ,261.066,41,7,1,4,0.836,0.54,0.484,0.000223,0.529,-9.745,0.0314,0.484,109.09
"Oh, Sweet Mary",6dK3YqaigUJPxdTZqwhnM7,254.4,33,5,1,4,0.0298,0.219,0.533,0.177,0.464,-13.547,0.05,0.527,160.353
Ball and Chain,6jXzkgISP6UfMEEaKkxWJw,567.973,54,11,0,4,0.516,0.398,0.266,0.0165,0.218,-14.661,0.0396,0.25,81.045
Roadblock,5Q86UA8tykye4KMN7gtKxl,330.933,30,0,1,4,0.0259,0.487,0.712,0.0689,0.551,-10.813,0.122,0.56,114.09
Flower In the Sun,3O59UWV5NDKZ6Td64Acpzv,183.706,33,6,0,4,0.134,0.541,0.54,0.0,0.445,-10.7,0.166,0.643,134.33
"Catch Me Daddy - Live at the Grande Ballroom, Detroit, MI - March 1968",1555vpxbW2zu9vr7HyZqAz,331.6,29,9,1,4,0.0749,0.406,0.808,0.0141,0.919,-11.194,0.172,0.486,90.406
"Magic of Love - Live at the Grande Ballroom, Detroit, MI - March 1968",4zhkP4qjUM1wR1dbehE7LU,238.133,33,5,1,4,0.159,0.617,0.831,0.000234,0.288,-11.915,0.349,0.509,115.646
