Lua De São Jorge - Remixed Original Album,29pxPDRk3w2HwAuhSv3VNw,237.04,43,9,1,4,0.569,0.557,0.602,0.0,0.156,-7.379,0.092,0.83,105.25
Oração Ao Tempo - Remixed Original Album,7oz1o6N5NDdTXQCZSfB3SO,206.906,52,2,1,1,0.838,0.637,0.226,0.000523,0.0773,-13.284,0.0492,0.691,152.37
Beleza Pura - Remixed Original Album,0lrV04pZROKYDmix5tlS9b,210.0,33,9,0,4,0.495,0.785,0.487,0.00016,0.0601,-8.404,0.0465,0.954,116.975
Menino Do Rio - Remixed Original Album,6L0rQrwVIrpvarjh6wKxp2,148.346,37,4,1,4,0.695,0.667,0.306,0.0193,0.141,-10.928,0.0432,0.559,140.32
Vampiro - Remixed Original Album,4X3pZmo3qSsczpXjdXkm7t,243.693,31,0,1,3,0.779,0.579,0.0594,2.53e-06,0.131,-12.746,0.0727,0.356,88.27
Elegia - Remixed Original Album,09n1K5ppz5PRiCroYmMGv5,139.0,33,7,1,4,0.739,0.859,0.329,0.000494,0.111,-12.419,0.0759,0.71,127.81
Trilhos Urbanos - Remixed Original Album,2kj2BhlFQvif5Bw6dWmjhK,165.973,33,0,1,4,0.657,0.762,0.376,0.00237,0.202,-11.284,0.0371,0.72,119.443
Louco Por Voce - Remixed Original Album,28IdWhSwz1O2TaZMEJvH9v,459.36,29,7,0,4,0.646,0.681,0.363,0.000201,0.114,-11.123,0.041,0.4,108.306
Cajuína - Remixed Original Album,7cEfPAbju7glmdAgT4e1AU,139.933,52,0,0,4,0.537,0.8,0.234,9.67e-06,0.339,-12.292,0.138,0.757,115.936
Aracaju - Remixed Original Album,418yhQUFiii7IsJNpruK9c,143.36,26,7,0,4,0.531,0.645,0.199,0.00215,0.224,-11.506,0.0341,0.47,76.654
Badauê - Remixed Original Album,1eW3fVuSCzHJHRl0HJ1tBk,92.706,27,5,1,4,0.329,0.813,0.7,8.92e-06,0.125,-9.656,0.0889,0.608,120.694
Os Meninos Dançam - Remixed Original Album,4Bsl40Gf8D1lzBEsSFallI,194.266,26,5,1,4,0.898,0.759,0.168,0.0542,0.0827,-16.304,0.0389,0.482,98.933
