We've Only Just Begun,3m167vBQI5YLK0a1m6L6Y1,185.16,54,9,1,4,0.771,0.376,0.321,3.34e-06,0.103,-11.771,0.0297,0.3,86.562
Love Is Surrender,2kFl8z9l3GPafmB8ZPBbL0,119.04,29,10,1,4,0.57,0.614,0.449,0.0,0.129,-15.068,0.0496,0.883,102.292
Maybe It's You,6Gqb3fskMAjy90VmIe0nVG,185.76,34,10,1,4,0.905,0.306,0.222,0.000215,0.119,-15.812,0.0305,0.297,80.75
Reason To Believe,4ybSXuUWfhfxAWAeey6dcN,185.933,35,7,1,4,0.825,0.37,0.295,0.00134,0.174,-14.284,0.0354,0.592,162.973
Help,6S2IaMT0fgL5fITZnuJdnZ,184.706,26,0,1,4,0.315,0.376,0.478,0.000284,0.298,-9.352,0.0307,0.608,88.467
(They Long To Be) Close To You,50q2aUjWoTn6CJIfSPRJQA,276.0,61,8,1,4,0.707,0.533,0.245,4.21e-05,0.122,-14.652,0.0326,0.236,89.328
Baby It's You,7atLpfYY9Z7fFc7CyDqdqa,173.866,28,7,0,4,0.84,0.37,0.228,2.25e-05,0.122,-12.932,0.0276,0.174,83.15
I'll Never Fall In Love Again,4ntGcAWEyS9f50DToHTfWW,180.626,36,10,1,4,0.834,0.503,0.309,0.0,0.104,-16.071,0.0385,0.605,141.278
Crescent Noon,6eeqCrSyYczoPQzkSw8kfO,252.8,26,7,0,5,0.931,0.232,0.118,0.0,0.111,-16.495,0.0292,0.105,105.024
Mr. Guder,6n7dgHjJTaECSawarCNotN,194.933,27,9,0,4,0.766,0.389,0.396,0.0,0.282,-13.624,0.0521,0.272,85.102
I Kept On Loving You,563ly9PwugmKqmFJGv4SIn,137.533,25,9,1,4,0.129,0.555,0.61,6.27e-06,0.0774,-13.008,0.103,0.369,91.533
Another Song,6ueRQ7BzlzsP9oHY9CwvJ6,262.8,24,2,0,4,0.451,0.435,0.453,0.0765,0.152,-13.959,0.0512,0.499,119.93
