Tudo O Que Você Podia Ser,4YwIblyn5m2XAJ7ljh5d79,177.0,53,2,0,4,0.296,0.457,0.482,0.000669,0.109,-14.694,0.0286,0.787,96.138
Cais,1UvOFJFyfsm2OJkE3s48fs,165.333,43,8,1,4,0.835,0.486,0.203,0.000635,0.239,-16.722,0.0303,0.141,94.952
O Trem Azul,0lq9TEXMVVSDcaj1azH6Po,245.506,41,0,1,4,0.0247,0.567,0.382,1.51e-05,0.297,-14.031,0.0336,0.337,128.863
Saídas E Bandeiras Nº 1,2NyTK2DNx8wKCCtCxHBPcS,45.293,39,4,0,5,0.392,0.727,0.571,1.65e-06,0.339,-10.608,0.148,0.665,137.112
Nuvem Cigana,7i8VODqaKoo8VimndSROGt,179.8,42,0,1,4,0.612,0.526,0.403,1.55e-06,0.0789,-10.736,0.0311,0.524,120.335
Cravo E Canela,4VWdOayiIDPEZNf7qBRylL,151.84,43,0,1,3,0.182,0.443,0.429,1.71e-05,0.0624,-12.345,0.0442,0.675,119.034
Dos Cruces,0gjvm0ApsGnl3hbbo2v2m8,322.066,37,9,1,4,0.7,0.451,0.127,0.00175,0.277,-14.18,0.0344,0.227,115.924
Um Girassol Da Cor Do Seu Cabelo,2eDUcjS6SSDJd6Rcx4TFkd,252.826,44,9,0,4,0.532,0.321,0.335,1.15e-05,0.153,-13.95,0.0319,0.209,142.343
San Vicente,2pFVNjxjAu24qGpNPxBqxj,166.573,40,9,1,3,0.277,0.503,0.321,6.25e-05,0.524,-14.017,0.0297,0.427,74.43
Estrelas,3znN80nBCElTnrus1vFNvd,28.56,2,11,0,4,0.812,0.321,0.335,0.265,0.2,-11.615,0.0335,0.628,57.57
Clube Da Esquina Nº 2,1sdW2whJr8CLa6bMA67LPQ,218.6,44,2,1,4,0.44,0.47,0.454,0.424,0.244,-14.921,0.0289,0.738,151.519
Paisagem Da Janela,4IPYyiEzF9DEIvLIkHUiro,178.24,39,0,1,4,0.483,0.677,0.396,0.0,0.326,-12.232,0.0305,0.644,110.285
Me Deixa Em Paz,2Pj7HeGeJTkka3l1m649YG,185.533,39,4,0,4,0.242,0.612,0.417,0.000272,0.0958,-12.887,0.0344,0.733,126.127
Os Povos,4WRrbhBfRvpdt4QomOhcHZ,270.96,36,7,1,3,0.716,0.494,0.188,0.000239,0.087,-15.452,0.0352,0.365,118.55
Saídas E Bandeiras Nº 2,0bhMkdnacSRmyaJSBRJkSh,90.773,36,4,0,5,0.202,0.685,0.748,0.00413,0.345,-11.694,0.0626,0.368,137.957
Um Gosto De Sol,4MwObkwylEpWbpVEZjsqSG,260.6,36,0,0,4,0.967,0.416,0.215,0.162,0.098,-14.243,0.0414,0.206,98.708
Pelo Amor De Deus,6FHg7Ue39CmDXGLQoXMrT2,126.066,33,5,1,4,0.263,0.283,0.458,2.36e-06,0.0971,-9.914,0.0421,0.323,86.043
Lilia,7jr8MCVN9KF5y0VGedkvD1,153.666,35,9,0,3,0.0112,0.459,0.656,0.118,0.215,-11.694,0.0316,0.772,87.847
Trem De Doido,7hfIiNdcy5c0MWxnoMvCYN,238.4,37,4,0,4,0.00169,0.281,0.49,0.0132,0.0601,-14.904,0.0369,0.446,154.507
Nada Será Como Antes,3o3fm0en7kMOBzR1YgKNFS,203.826,43,0,0,4,0.143,0.518,0.531,0.000278,0.0929,-11.65,0.0346,0.673,129.02
Ao Que Vai Nascer,2iMeakYbl6icDiHxrdoJa9,202.293,33,10,0,4,0.735,0.39,0.305,0.00255,0.0681,-14.499,0.0303,0.0726,96.913
