Fa-Fa-Fa-Fa-Fa (Sad Song),1LIM0zOPitSNpUIU8H1BNQ,166.093,46,10,1,4,0.468,0.751,0.364,0.00418,0.186,-11.987,0.0308,0.882,97.972
I'm Sick Y'All,2nlmbCXIlrqeSpwCRMMQjS,174.413,30,5,0,4,0.0822,0.706,0.354,0.414,0.234,-10.734,0.0326,0.606,96.663
Tennessee Waltz,1PKwBD7Q2PNTM8pJNosviy,171.92,40,2,1,3,0.313,0.618,0.2,1.45e-05,0.132,-14.05,0.0391,0.477,135.362
Sweet Lorene,0EqI00HSrNck2L1oBDf5Nz,146.333,22,9,1,4,0.182,0.775,0.396,0.0066,0.0301,-12.712,0.0342,0.632,117.172
Try a Little Tenderness,36AlMHDBFwSsD3FQOy1R81,201.733,64,9,0,4,0.186,0.587,0.133,2.26e-05,0.258,-15.151,0.0565,0.068,102.938
Day Tripper,2ne6fKEUSWugOPtZ0BW9pc,162.6,26,9,1,4,0.00684,0.812,0.338,0.0596,0.148,-12.889,0.0534,0.698,140.89
My Lover's Prayer,3ewSxAjIejXBZ7tk5llr11,190.506,30,9,1,3,0.851,0.695,0.279,0.00029,0.178,-10.965,0.0427,0.543,125.179
She Put the Hurt on Me,0SCMvcwKCKoujHczekX369,155.866,22,2,1,4,0.0758,0.846,0.391,5.67e-05,0.0513,-12.471,0.0444,0.975,116.229
Ton of Joy,0KD48mOvrHWdbIIbiXQq0D,163.6,22,4,1,4,0.808,0.782,0.15,0.0,0.554,-19.791,0.0527,0.71,92.597
You're Still My Baby,1imCiMfbzpr50zwhC89jv7,228.053,24,1,1,3,0.501,0.571,0.156,4.6e-06,0.141,-14.708,0.0396,0.348,117.036
Hawg for You,2UGzbTc0PlfxxGHUXmLFNg,204.2,21,4,1,3,0.386,0.78,0.226,0.115,0.165,-20.662,0.0357,0.423,97.202
Love Have Mercy,0lb3ObcnEV0iTILYOxK58v,149.333,21,1,1,4,0.0862,0.804,0.386,0.0365,0.162,-10.914,0.0366,0.884,119.053
