Court and Spark,2l8kERLPqgP7p94Duj9nqH,166.16,43,9,1,4,0.752,0.506,0.127,0.0,0.0981,-17.097,0.0357,0.289,111.623
Help Me,0tVzXGFyNPusa1VkHmYDLd,204.32,55,9,0,4,0.484,0.579,0.536,5.4e-05,0.0937,-10.035,0.0388,0.67,81.868
Free Man in Paris,2by5mqpQ1ZP2G5FOIccMnu,183.12,45,2,1,4,0.558,0.59,0.62,0.0,0.0691,-7.665,0.0363,0.661,81.429
People's Parties,5RI0qk5rSvAJwCwxtDSKKM,135.4,44,2,1,4,0.659,0.598,0.228,0.0,0.13,-15.381,0.0304,0.572,105.036
The Same Situation,0jRKHKZhHZpN4Q1GHF7YZt,177.333,36,7,1,3,0.444,0.448,0.27,1.67e-06,0.118,-14.845,0.029,0.272,106.788
Car on a Hill,27VoOUIDXAAgmEXSjOJ1gD,182.2,41,2,1,4,0.528,0.515,0.363,8.24e-05,0.124,-13.911,0.0287,0.43,115.595
Down to You,3eH95cySq82dDtpwrGCCfQ,338.733,41,2,1,4,0.974,0.402,0.141,0.0126,0.101,-18.3,0.0405,0.179,117.332
Just Like This Train,5sybv7y6pikPOhTxTgXfvc,264.466,35,0,1,4,0.668,0.656,0.373,0.0,0.199,-12.85,0.026,0.52,102.888
Raised on Robbery,4C1jo6AbILMbE4TlAjXfVl,187.773,36,0,1,4,0.168,0.554,0.777,0.0,0.128,-5.782,0.0332,0.832,142.872
Trouble Child,6xnWOh2QmFsggTxGsaPv7X,240.093,38,0,1,1,0.459,0.605,0.322,2.82e-05,0.137,-13.261,0.025,0.597,97.691
Twisted,71erzpH89KI95te7DTPOrG,141.333,34,7,1,4,0.347,0.709,0.371,0.0,0.14,-15.323,0.234,0.43,143.623
