Silence Kid,4UOcfhMlBDwhlrCa12qIca,180.933,34,9,1,4,0.00016,0.392,0.462,6.04e-05,0.107,-10.958,0.0281,0.175,102.036
Elevate Me Later,3xyuKwQ45pft60DSAAvmc8,171.293,37,7,1,4,2.32e-05,0.373,0.701,0.136,0.366,-9.429,0.0339,0.307,97.962
Stop Breathin,7BxGuQ5gXCdyj1UBIipjsm,267.973,33,5,0,3,0.167,0.352,0.337,0.917,0.14,-13.647,0.0251,0.234,153.367
Cut Your Hair,42A0QPOvw1bumGoVbRb2KV,186.826,34,4,0,4,0.0057,0.476,0.718,0.0013,0.222,-9.831,0.031,0.631,110.871
Newark Wilder,1255FJeQprUoY9iVaeaI8z,233.533,30,4,0,4,0.209,0.393,0.399,0.146,0.111,-12.983,0.0681,0.198,96.947
Unfair,2zbsbx2N8r3ZIshiqvNO2g,153.133,33,9,1,4,0.00149,0.357,0.809,0.294,0.0997,-10.248,0.0494,0.682,125.256
Gold Soundz,0IVT2zUgpMzyEx2TTM1HgB,159.973,33,9,1,4,0.0663,0.448,0.61,0.0,0.101,-9.38,0.0313,0.478,126.579
5-4=Unity,1QOytPrwqpUQCrrPByD5HZ,129.266,29,9,0,4,0.00769,0.439,0.423,0.924,0.395,-11.779,0.0335,0.495,87.385
Range Life,6lAZ7xfP9su2ZvGk1rRc3R,294.933,57,9,1,4,0.0445,0.555,0.724,1.4e-05,0.186,-9.429,0.0288,0.724,112.812
Heaven Is a Truck,41G69bSQ83V60TQWHGXHAu,150.8,30,9,1,4,0.12,0.331,0.426,0.000738,0.207,-13.859,0.0307,0.468,167.278
Hit the Plane Down,1Yl4bnYsBMA57mMFvaZ7TS,216.866,27,5,1,4,0.537,0.448,0.851,0.192,0.434,-9.147,0.0569,0.597,97.523
Fillmore Jive,0j3CvXKz1giKmSTKV0K7w2,398.733,29,2,1,4,0.0222,0.21,0.455,0.35,0.241,-10.998,0.0312,0.207,79.471
Camera,0WVHYzMNJ8YHiLXlo4GQOT,225.466,25,7,1,4,0.0203,0.276,0.354,0.00039,0.121,-9.947,0.0303,0.147,174.012
Stare,3m01PecWTFATRSbNqDGtRZ,171.533,23,2,1,4,0.878,0.378,0.3,0.454,0.106,-16.568,0.0422,0.0458,164.643
Raft,0duwHtVaT2latRye5vHYuh,214.4,23,9,1,4,0.0423,0.443,0.671,0.846,0.411,-9.264,0.0255,0.848,99.585
Coolin' By Sound,3oReVFRk0iIPwyPD5ueI96,170.4,23,4,1,4,8.27e-06,0.38,0.782,0.832,0.167,-9.097,0.0326,0.457,127.648
Kneeling Bus,7MKfNkRNsGrWaQLGFqJzQX,93.96,21,2,1,4,0.123,0.518,0.699,0.565,0.188,-9.631,0.0739,0.801,125.101
Strings Of Nashville,7hWpOnwT6eHwXWeO8YM8F8,226.2,25,7,1,4,0.925,0.437,0.118,0.898,0.208,-20.743,0.0341,0.039,137.776
Exit Theory,4Hqljm3isbB06PFFwuZBuB,60.04,21,2,1,1,0.019,0.268,0.83,0.956,0.221,-10.577,0.045,0.242,91.762
5-4 Vocal,18g3aU8igCXUrz5uXhG8JF,128.36,20,2,0,3,0.00238,0.29,0.554,0.657,0.377,-9.212,0.0298,0.483,92.057
Jam Kids,3TknZKcITkCIVijEaCbbHT,294.773,20,7,1,5,0.0803,0.371,0.478,0.425,0.0807,-9.101,0.0295,0.296,139.196
Haunt You Down,5M8IrTHfEh1I88BsS3Pqeg,291.666,21,5,1,4,0.462,0.387,0.332,0.018,0.118,-11.597,0.0292,0.227,77.014
Unseen Power Of The Picket Fence,2udfjuICy5pb0LFDk2ISj5,231.133,23,0,1,4,0.0284,0.343,0.785,0.00457,0.128,-5.994,0.0552,0.236,99.685
Nail Clinic,153v6Ll0ijrW1giY9ca4o0,145.76,19,2,1,4,0.0347,0.369,0.929,0.113,0.0858,-4.931,0.0937,0.358,124.183
All My Friends,7GuJ8WaaanwME1p0c4UJWq,312.093,21,2,1,4,0.00481,0.328,0.735,0.848,0.0828,-6.178,0.0358,0.289,120.242
Soiled Little Filly,42LWcOkhEW4z8aOdVkg8Dh,128.466,19,2,1,4,2e-06,0.226,0.902,0.145,0.0962,-4.715,0.0418,0.412,183.741
Range Life,71BlO201apcVQd9cnemitw,251.466,21,9,1,4,6.82e-06,0.478,0.838,0.382,0.343,-5.726,0.0321,0.52,116.342
Stop Breathing,36qUV9nj1rJgAugp5FJ8Kt,234.866,19,5,0,3,6.11e-05,0.162,0.815,0.585,0.194,-5.39,0.0338,0.352,173.462
Ell Ess Two,7FWSgT0vG06zaAfRr4AYRJ,164.533,20,0,1,4,1.43e-05,0.52,0.912,0.00194,0.0906,-6.174,0.0307,0.545,99.897
Flux = Rad,47sWYy2A9FqOz05HeVVi3Q,131.64,17,9,1,4,2.48e-06,0.103,0.978,0.728,0.322,-7.203,0.0893,0.578,159.12
Bad Version Of War,6z3EeDMek5za8sc5V1Oekq,207.2,16,9,1,4,2.45e-06,0.354,0.975,0.883,0.368,-5.954,0.0691,0.295,96.763
