Suite: Judy Blue Eyes - 2005 Remaster,2PuUFT13yCzUOZun94WOXv,444.053,65,9,1,4,0.469,0.451,0.364,0.0,0.197,-13.126,0.0436,0.298,154.206
Marrakesh Express - 2005 Remaster,3bIB8JVXIbCTwJtsweAqeq,156.68,42,7,1,4,0.138,0.571,0.557,0.000203,0.381,-15.439,0.211,0.746,107.953
Guinnevere - 2005 Remaster,3CZ4BXMk4xpCJcWeowNERh,277.813,44,11,0,4,0.817,0.467,0.0936,0.00365,0.113,-19.998,0.0371,0.178,113.699
You Don't Have to Cry - 2005 Remaster,0hroZQJfRxMVB5W7eOsJNj,162.693,46,7,1,4,0.524,0.559,0.377,0.0,0.0717,-14.491,0.0515,0.714,83.138
Pre-Road Downs - 2005 Remaster,3ytOjSznMxMx6mVKD7O263,175.733,37,9,1,4,0.209,0.604,0.328,2.68e-05,0.185,-12.283,0.0318,0.3,124.453
Wooden Ships - 2005 Remaster,39m6vOwUEgjErRnsm93wu2,326.293,51,4,0,4,0.666,0.475,0.303,0.0765,0.112,-13.39,0.0313,0.57,79.202
Lady of the Island - 2005 Remaster,3zk0hw5TYUyNwLLkAdnSD4,156.253,37,5,0,1,0.967,0.438,0.0169,0.00108,0.138,-24.366,0.0458,0.124,127.943
Helplessly Hoping - 2005 Remaster,1UKobFsdqNXQb8OthimCKe,157.893,66,7,1,4,0.914,0.567,0.159,0.0,0.111,-13.648,0.0331,0.436,146.913
Long Time Gone - 2005 Remaster,1zMfsMdwkSLvuqcCVEZGlT,256.653,46,2,1,4,0.455,0.595,0.366,0.000486,0.11,-11.848,0.0346,0.362,106.602
49 Bye-Byes - 2005 Remaster,14nPeFpodUF79CUJFhuZ7P,305.093,37,4,1,4,0.23,0.611,0.482,6.53e-06,0.0791,-11.315,0.0276,0.691,117.993
Do for the Others,4j0hqTP9itFBPSYZz7F7c5,167.48,36,6,1,4,0.904,0.565,0.187,7.15e-05,0.118,-17.895,0.0317,0.101,80.346
Song with No Words,2iz5B3fIMX3U8Gva24QbcG,197.053,35,7,0,4,0.937,0.36,0.17,0.0132,0.112,-15.447,0.035,0.328,182.284
Everybody's Talkin',2moQAQK2TFktQZY0aDmFC9,193.506,36,11,1,4,0.953,0.579,0.136,0.00463,0.1,-17.791,0.0318,0.104,98.496
Teach Your Children,14UvvyCwUtkf7Nk440cbG9,194.226,36,5,1,4,0.815,0.623,0.325,0.0,0.433,-11.749,0.0314,0.491,81.999
