Refugee,4mcZYzoGwPRDdhWVlygiHf,201.693,64,6,0,4,0.0273,0.579,0.705,0.0,0.0704,-4.911,0.0339,0.761,116.173
Here Comes My Girl,685sEpLJe80Zzuxz3siOVT,264.453,54,4,1,4,0.0517,0.578,0.734,0.233,0.165,-6.09,0.0304,0.373,104.851
Even The Losers,1bms9tDuoxEDeqxyvFnP6z,239.333,37,2,1,4,0.0274,0.458,0.831,0.0212,0.22,-5.439,0.0485,0.61,131.104
Shadow Of A Doubt (A Complex Kid),0uV5j1LuzRS5HglBLKmwM0,264.453,31,9,1,4,0.227,0.462,0.915,0.000212,0.063,-4.39,0.0309,0.585,141.511
Century City,406klWbCDLo9cs7pduRuuF,223.253,28,2,1,4,0.143,0.485,0.957,0.00108,0.322,-3.678,0.0685,0.894,151.39
Don't Do Me Like That,5AzpZ5ADn1AFPxcEBd2Ugf,161.786,61,0,1,4,0.211,0.758,0.805,1.53e-05,0.0982,-4.243,0.0279,0.961,116.543
You Tell Me,0g4AY5N5nCLqchHpnYu26u,273.573,29,9,1,4,0.0484,0.642,0.797,0.0086,0.0692,-5.889,0.0238,0.873,108.98
What Are You Doin' In My Life?,2AKX7nBYdc0n5qXkSbfH7x,205.48,27,4,1,4,0.362,0.5,0.938,0.00937,0.437,-4.023,0.0371,0.777,157.197
Louisiana Rain,5dfg1Piej2rQ0jwmwxo3kF,352.413,42,7,1,4,0.218,0.429,0.551,2.18e-06,0.312,-6.638,0.0372,0.365,111.513
Nowhere,61chTBkjt6A8GsrXOojdPV,218.08,25,7,1,4,0.0832,0.581,0.673,0.0197,0.261,-5.573,0.0293,0.767,120.697
Surrender,28nUgITSci5R0ngEAn98dY,205.92,26,4,1,4,0.00411,0.563,0.739,6.62e-05,0.364,-5.448,0.0268,0.671,119.728
Casa Dega,1foblVZ1Kr2vz7212SMNZB,215.8,29,4,0,4,0.0011,0.761,0.541,5.2e-05,0.122,-7.064,0.0503,0.428,116.802
It's Rainin' Again - Playback 1995 Box Set Version,3mphrbLqnNr2UCHIXkaqsk,91.6,22,9,1,4,0.452,0.477,0.586,3e-06,0.363,-7.686,0.0288,0.638,80.008
"Shadow Of A Doubt (A Complex Kid) - Live At Hammersmith Odeon, London, England/1980",4IelIE8X4Gsu6QPHqSnTQx,282.173,23,9,1,4,0.0049,0.441,0.884,0.00171,0.979,-5.286,0.0437,0.567,143.0
"Don't Do Me Like That - Live At Hammersmith Odeon, London, England/1980",5kdd1nzimLc5Rtad4TUbvG,169.626,26,0,1,4,0.193,0.653,0.9,3.37e-06,0.995,-5.595,0.0447,0.881,122.635
"Somethin' Else - Live At Hammersmith Odeon, London, England/1980",6QqM9HsU42TwE1dnK4B2Jl,148.56,22,2,1,4,0.0125,0.378,0.913,0.00234,0.988,-5.799,0.0917,0.433,158.918
Casa Dega - Demo,2j6OHo0ExZXygaIoK0EJgA,212.733,22,7,1,4,0.0915,0.713,0.568,0.000466,0.0672,-7.941,0.0254,0.579,119.225
Refugee - Alt. Take,6dx07G5TNBGQRi5WwNctfQ,272.133,26,4,1,4,0.0794,0.665,0.685,0.000334,0.179,-6.541,0.0524,0.563,120.431
