Badlands,0M1YQiRGel1tTMjA3orfRd,242.453,58,4,1,4,0.0862,0.609,0.778,1.16e-05,0.278,-7.548,0.0485,0.853,122.614
Adam Raised a Cain,39J5RXFJG6MCjHql3a0Hat,272.04,46,9,0,4,0.0071,0.515,0.854,1.36e-06,0.345,-7.319,0.0382,0.828,94.338
Something in the Night,0g2ADk0pu6ynetEOPV11Vb,311.826,43,0,1,4,0.0439,0.377,0.375,0.000504,0.102,-9.174,0.027,0.479,142.389
Candy's Room,19aoReRYJtOo2vWKPffECT,166.24,42,0,1,4,0.105,0.444,0.85,0.0181,0.549,-7.833,0.0711,0.492,150.401
Racing in the Street,4L6ZmbSmjH5swqGWrelrrN,412.973,56,5,1,4,0.587,0.569,0.273,0.000512,0.128,-12.512,0.03,0.241,86.598
The Promised Land,2KQq1pn2eUDEFitdQ4WzzZ,268.453,49,7,1,4,0.0152,0.568,0.793,0.000737,0.134,-6.575,0.0339,0.821,115.11
Factory,7M8fNsiycGeQWtAu8NxgvW,138.72,41,0,1,4,0.23,0.635,0.548,0.000145,0.251,-8.984,0.0257,0.545,81.764
Streets of Fire,1PuHLoIL9LTev7T5ONv5zI,243.106,40,6,0,4,0.162,0.352,0.626,0.00528,0.131,-7.038,0.0302,0.226,76.354
Prove It All Night,0Ye9OGxiHF3jylblTCuX7Q,237.44,52,6,0,4,0.0163,0.452,0.773,2.83e-05,0.466,-6.794,0.0305,0.847,114.285
Darkness on the Edge of Town,6fBy4h0spon7gkmZroCRmR,272.426,52,7,1,4,0.0218,0.369,0.515,0.0,0.0556,-9.318,0.0396,0.446,171.334
