Carry On,4bjvLvKovcWqZwDbXT5QQX,265.933,59,1,1,4,0.059,0.463,0.495,1.25e-06,0.271,-12.203,0.041,0.532,118.505
Teach Your Children,29HaKOpeLSYvqdFyEQSRdj,173.466,64,2,1,4,0.643,0.497,0.285,1.66e-05,0.389,-14.537,0.0264,0.667,154.7
Almost Cut My Hair,0gCJkpD0RhF2rjiALLHBQL,269.173,63,7,1,4,0.183,0.47,0.471,0.00927,0.164,-10.484,0.0437,0.574,136.828
Helpless,3gQMqeXqiHFCafaTtFnHF8,217.133,58,2,1,4,0.86,0.538,0.258,0.00599,0.134,-13.603,0.0309,0.376,114.151
Woodstock,2iqKVzMZpyUVPwxIVaQkhm,233.773,55,4,0,4,0.121,0.458,0.539,0.00944,0.17,-12.402,0.0571,0.56,118.928
Deja Vu,3O4VF8UYD6CCuhj6d4TQPa,252.373,47,11,0,4,0.808,0.454,0.267,0.221,0.296,-15.915,0.036,0.203,137.119
Our House,2hitsKa8SthKhRJBXUHbIv,179.76,69,9,1,4,0.896,0.593,0.205,5.46e-05,0.119,-14.601,0.0479,0.377,140.279
4 + 20,2jZPEeW2ynykb2GkVqpOkJ,126.64,48,4,1,4,0.929,0.64,0.058,0.0797,0.113,-25.243,0.0388,0.126,140.957
Country Girl,6CCh5pP9RWnYhXK43t1nDC,312.133,43,7,0,3,0.585,0.317,0.401,3.18e-05,0.093,-12.55,0.0306,0.354,121.127
Everybody I Love You,7ueMtBY5caVZM5FocVzOv7,142.0,42,9,1,4,0.00295,0.371,0.695,0.000112,0.155,-8.559,0.0325,0.707,142.066
