Save Tonight,1t2Hq2WIBcZINOEnK6mdJG,239.226,68,0,1,4,9.24e-05,0.547,0.693,5.46e-05,0.113,-8.786,0.0353,0.583,119.567
Indecision,50Iz9MiHnaJ2fIdzhOpwaD,316.306,18,2,1,4,0.0086,0.548,0.576,0.0297,0.171,-9.127,0.0287,0.531,165.758
Comatose (In The Arms of Slumber),6UJHVaUBzJzcZ3C0T17bhR,277.133,0,7,1,4,0.314,0.757,0.474,0.00026,0.102,-9.518,0.0612,0.613,91.653
Worried Eyes,0lsTEAxLB5Q2L2PAoG6Ogt,270.893,20,2,1,4,0.106,0.686,0.545,6.19e-05,0.111,-8.926,0.0306,0.611,76.037
Rainbow Wings,07mxz3tbTdRZ9CJYoWSvzf,243.573,0,9,1,4,0.0903,0.793,0.464,0.291,0.109,-12.006,0.0443,0.757,108.744
Falling In Love Again,08f7nSnPEYMZs8Zr9GWLxn,209.96,34,7,1,4,0.00891,0.642,0.778,7.58e-06,0.106,-8.186,0.0307,0.607,100.026
Conversation,49qpALBqRZShNxP50sHZ1F,283.506,0,1,0,4,0.0232,0.654,0.676,0.000543,0.087,-9.035,0.0375,0.452,90.322
When Mermaids Cry,5EGFPo2vhBFgKrQvzSlOQw,262.866,0,7,1,4,0.049,0.564,0.669,0.0,0.114,-8.184,0.0254,0.596,97.127
Shooting Up In Vain,274PFOKVuws9QAmRVLcieP,334.893,0,0,1,4,0.00995,0.685,0.409,0.043,0.0606,-12.088,0.0277,0.136,96.147
Permanent Tears,5Rv5TrAICmaHYKwANplEQH,283.0,0,6,0,4,0.107,0.611,0.577,0.000539,0.046,-10.018,0.0287,0.343,144.38
Death Defied By WIll,0VhIWGcm7d7n4dedH7NSYS,263.306,0,7,1,4,0.00157,0.351,0.57,0.0,0.192,-8.361,0.0322,0.34,140.009
Desireless,5mddRuleG31RAf5YsPpEZz,373.933,0,3,0,4,0.0517,0.512,0.758,0.486,0.363,-8.323,0.0497,0.281,80.369
